新加坡, 180.210.206.51,0%,NONE,20%,20%,66%,0%,33%,33%,33%,0%,22%,0%,0%,NONE,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,16%,22%,14%,30%,0%,20%,0%,20%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,5%,0%,0%,0%
马来西亚, 223.25.244.145,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,40%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%
越南, 45.117.76.22,0%,0%,10%,20%,66%,0%,0%,66%,33%,0%,12%,0%,0%,0%,NONE,0%,NONE,NONE,0%,0%,0%,NONE,0%,0%,0%,26%,19%,20%,0%,10%,10%,2%,0%,0%,20%,10%,0%,0%,0%,0%,0%,0%,30%,0%,0%,0%,2%,11%,0%,0%,NONE,0%,0%,0%,3%,6%,0%,0%,0%
泰国, 43.254.132.221,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,30%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,3%,0%,0%,0%,0%,0%,0%,1%,8%,0%,0%,0%
澳大利亚, 203.143.89.72,0%,0%,20%,10%,33%,0%,0%,33%,0%,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0%,0%,0%,0%,0%,0%,NONE,NONE,50%,NONE,NONE,98%,NONE,10%,30%,0%,30%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NONE,0%,0%,0%,2%,0%,0%,0%
印度, 49.50.76.218,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,2%,0%,0%,0%
阿联酋, 185.93.245.54,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NONE,0%,0%,0%,0%,0%,0%,5%,2%,0%,0%,0%,4%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,6%,5%,0%,0%,0%,0%,0%,0%,3%,1%,0%,0%,0%
土耳其, 185.125.32.29,0%,0%,10%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,2%,6%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,3%,0%,0%,0%
沙特, 46.151.213.205,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,2%,30%,0%,10%,0%,0%,NONE,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%
哈萨克斯坦, 95.56.234.66,0%,0%,0%,0%,0%,0%,0%,0%,0%,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0%,0%,0%,0%,0%,0%,0%,0%,10%,NONE,NONE,98%,NONE,0%,0%,2%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NONE,3%,2%,0%,0%,0%
