新加坡, 180.210.206.51, 0%, 111
越南, 45.117.76.22, 0%, 149
澳大利亚, 203.143.89.72, 0%, 184
泰国, 43.254.132.221, 0%, 110
印度, 220.226.182.128, 0%, 146
蒙古, 43.231.113.234, 0%, 139
日本, 133.130.115.224, 0%, 82
香港, 203.119.87.218, 0%, 54
韩国, 103.86.86.1, 0%, 52
土耳其, 185.125.32.29, 0%, 230
哈萨克斯坦, 91.185.5.197, 0%, 249
荷兰, 103.136.40.107, 0%, 166
德国, 185.72.247.76, 0%, 201
台湾, 218.32.21.1, 0%, 76
俄罗斯, 46.38.51.201, 0%, 183
英国, 46.17.63.250, 0%, 218
乌克兰, 91.229.78.83, 0%, 205
芬兰, 185.87.108.247, 0%, 194
葡萄牙, 188.208.143.109, 0%, 214
意大利, 192.71.26.35, 0%, 275
美国, 45.35.23.120, 0%, 164
埃及, 41.215.240.13, 0%, 324
加拿大, 132.216.177.160, 0%, 267
巴西, 181.41.214.27, 0%, 340
阿根廷, 200.55.240.23, 0%, 343
南非, 168.209.28.2, 0%, 475
马来西亚, 223.25.244.145, 10%, 95
阿联酋, 185.93.245.1, 10%, 345
尼日利亚, 154.113.1.1, 10%, 263
墨西哥, 143.255.57.1, 10%, 269
肯尼亚, 62.12.114.67, 10%, 365
智利, 190.105.239.70, 20%, 464
沙特, 46.151.213.205, 50%, 362
-, -, -, -
北京, 中国信息通信研究院, 电信, 106.38.3.249
