新加坡, 180.210.206.51
马来西亚, 223.25.244.145
越南, 45.117.76.22
泰国, 43.254.132.221
澳大利亚, 203.143.89.72
印度, 49.50.76.218
阿联酋, 185.93.245.54
土耳其, 185.125.32.29
沙特, 46.151.213.205
哈萨克斯坦, 95.56.234.66
蒙古, 43.231.113.234
日本, 45.32.51.106
韩国, 103.86.86.1
香港, 203.160.84.241
台湾, 113.196.70.31
英国, 5.1.88.152
德国, 185.72.247.76
荷兰, 81.171.7.1
俄罗斯, 46.38.51.201
乌克兰, 91.229.78.83
意大利, 185.94.16.23
葡萄牙, 188.208.143.109
芬兰, 185.87.108.247
埃及, 41.215.240.197
肯尼亚, 62.12.114.67
尼日利亚, 154.113.1.27
南非, 41.185.78.52
美国, 204.188.217.238
加拿大, 198.50.128.225
墨西哥, 143.255.57.1
巴西, 181.41.214.27
阿根廷, 200.55.240.23
智利, 190.105.239.70
