 ,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,山东,河南,上海,江苏,浙江,安徽,福建,江西,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
北京,0.0222,3.2705,5.4233,12.7568,13.4572,12.3408,18.4668,24.853,10.2786,11.9011,24.1192,27.1079,27.1578,29.1148,33.8649,31.6066,18.7291,28.3437,35.2507,38.9945,42.964,30.4112,35.4526,45.6722,52.3581,78.2359,17.8103,31.9004,25.5555,17.5964,59.8752
天津,3.0857,3.3928,8.8082,21.1926,13.9439,9.2636,18.2098,20.5024,8.3907,24.7868,24.1291,26.7049,23.2148,24.5427,42.0672,31.659,18.0152,24.1362,34.7031,50.1748,41.6685,33.7446,38.5444,37.4958,47.9451,75.6914,17.9564,25.9969,37.5872,32.422,61.8298
河北,5.4287,9.2766,0.0205,12.3702,13.1278,16.707,26.5398,26.7215,9.3246,17.3629,25.7088,21.9153,26.7176,28.1359,37.4278,37.6696,13.2591,25.6459,37.9672,40.6778,45.2495,28.5029,21.201,38.5245,48.4678,76.0527,25.2576,20.3508,21.2279,20.4873,49.4206
山西,12.7625,21.2147,12.3714,0.0159,13.6155,28.1824,26.8742,34.4541,16.9144,9.9645,31.0507,20.1079,29.8468,29.0556,48.3226,43.0034,17.6075,32.584,37.614,47.2045,50.2184,28.4341,17.9009,32.9323,38.7703,70.3557,11.1941,15.2811,18.4776,8.8385,47.6528
内蒙古,14.3569,14.1801,13.1227,13.6088,0.0226,22.949,23.2863,30.0889,16.6865,15.9714,37.9039,36.5998,35.5409,55.9815,56.0251,50.852,33.0142,32.9223,40.491,52.8157,47.1933,38.8405,46.0591,42.5636,35.856,83.676,18.0063,21.5616,26.8346,15.0316,56.5557
辽宁,13.4609,9.2594,16.7046,28.1866,22.9551,0.0245,11.9578,18.6199,21.8879,29.9825,33.9065,29.1327,33.5795,41.835,63.2143,48.7718,28.1186,52.3683,53.9895,56.4479,65.5349,43.5557,40.7528,59.5999,60.4265,81.1413,27.4327,35.8001,39.9327,41.1458,64.657
吉林,19.2706,18.9558,26.5369,27.7669,23.4943,11.9556,0.0225,7.8958,32.4578,41.2781,39.8908,51.654,41.9544,43.5461,61.9147,53.132,42.2057,46.9299,48.4968,56.6034,54.7529,51.4082,50.4257,59.8096,62.4664,94.2224,47.2893,43.746,46.8013,34.4853,68.5983
黑龙江,24.8553,20.6494,26.7152,34.4443,30.0917,18.0059,7.8719,0.0293,30.6991,41.4409,42.1147,42.289,47.9631,51.2741,65.6989,53.7497,36.9552,47.5964,54.7655,67.4193,63.8351,54.2386,61.2456,68.5578,73.5344,97.6854,42.4169,52.2897,52.7568,41.9971,84.2524
山东,10.2821,4.8614,9.3208,16.9135,16.6937,21.8882,32.4367,30.7033,0.0495,19.2645,15.4654,9.241,18.1691,21.7081,30.7712,32.2765,13.8791,24.8089,38.5362,37.3732,44.1779,29.1517,34.707,37.6486,51.857,66.5533,17.7342,28.5862,29.3032,28.0338,53.5409
河南,11.8969,15.205,17.3547,9.9684,15.9805,29.9787,41.2877,41.4607,19.2654,0.0292,27.6881,21.9011,25.8642,42.9608,39.5583,26.2403,9.1351,15.8458,28.5254,30.7089,49.3498,23.6796,16.6144,31.4596,39.4544,64.4476,7.9254,20.265,22.9968,22.3744,47.1553
上海,23.9258,19.1856,25.8071,31.5384,37.6534,34.2259,40.0688,42.1965,15.3605,27.3987,0.017,8.3152,8.0587,9.8327,25.8223,16.1558,17.5122,20.6961,30.3857,41.1058,36.2686,32.3399,35.5753,36.957,37.6901,65.3526,26.6529,35.5739,41.5349,35.9178,72.3626
江苏,27.101,26.8957,21.9014,20.0877,36.5827,29.116,51.6283,42.2552,9.2347,21.8899,8.6188,0.026,9.0555,7.416,22.7006,13.429,8.9264,19.6084,29.522,33.8152,35.6617,43.1438,28.1047,44.5902,51.8662,64.0861,30.4551,36.8625,38.3667,32.2364,68.5851
浙江,27.1778,23.8708,26.7378,29.8804,35.557,33.5794,41.9972,47.9677,18.1826,25.8635,7.9217,9.0771,0.0261,10.4398,20.6656,9.1224,24.6026,15.4365,27.9302,34.8845,30.8378,42.5581,38.8532,40.8278,39.6432,75.0556,31.5006,44.41,49.1788,37.8126,64.8898
安徽,28.5188,24.2191,27.5355,28.4846,55.4151,41.7142,42.9903,51.2008,21.1323,42.7422,10.3421,6.7981,10.2233,0.0342,33.5978,19.9595,8.0165,26.2801,36.0553,52.7264,32.914,22.9265,36.0965,66.9157,46.2636,84.4279,19.5116,38.601,46.7333,47.959,77.1963
福建,33.8687,42.4319,37.4181,48.3341,56.029,63.1738,61.9168,65.7042,30.769,39.55,25.9784,22.7145,20.6469,34.1482,0.024,17.9031,29.008,25.4043,20.6166,26.4051,25.1213,49.2997,48.7293,42.7782,45.3398,78.8859,43.6627,63.5938,56.8562,67.9851,99.4774
江西,31.4621,32.7483,37.6122,43.1241,50.7999,48.7245,53.14,53.9097,31.2305,26.2194,15.5295,13.4619,9.8593,20.4817,17.8684,0.0373,14.0243,8.0265,14.5198,42.9513,21.6248,45.1497,47.6524,61.2377,44.5203,84.1509,35.3183,50.2431,57.6006,44.0447,80.3711
湖北,18.7321,18.2073,13.2593,17.6051,32.9998,28.1181,42.204,36.9571,13.8816,9.1344,17.6646,8.9416,24.5871,8.6591,29.0008,13.7351,0.0184,6.1529,18.0125,33.0423,25.2144,14.708,19.4341,25.9454,36.1545,66.4484,14.7734,27.1402,27.2673,28.0446,49.0126
湖南,28.3494,24.1859,25.6336,32.5838,32.911,52.3732,46.9287,47.6177,24.8075,15.8671,20.477,19.647,15.4377,26.377,25.4113,8.7716,6.1466,0.0216,17.056,25.9211,20.1731,20.6087,53.1716,34.3396,43.4254,84.2791,42.9931,51.9901,46.9334,59.1904,66.2896
广东,33.964,34.4744,36.364,36.7627,40.6004,53.1357,48.3098,56.6131,35.737,27.4336,30.3186,30.2475,27.3165,37.2639,20.1261,14.9521,16.618,17.4057,0.0329,15.8366,13.0835,29.6282,37.6033,29.4688,30.4067,66.1408,40.7099,46.2415,45.3273,54.9904,82.3558
广西,38.7785,50.3284,40.6472,46.9369,52.997,56.1114,57.6828,67.5224,37.2806,30.8359,40.6673,34.2338,35.0565,53.2687,26.503,42.9301,32.8354,25.705,17.3127,0.04,17.9327,16.668,21.6502,16.4239,36.1521,77.835,40.7613,53.5576,52.7568,60.8226,107.7967
海南,42.9526,41.7865,45.2679,50.2307,47.2477,65.5135,54.7472,63.8524,44.1844,49.3355,36.4272,35.6445,30.8063,32.9955,25.0958,21.6333,24.8372,20.1893,11.6487,17.6839,0.0382,36.7217,44.4149,30.1073,39.1475,73.3721,46.3205,53.4555,53.0338,62.7577,89.0791
重庆,30.4151,34.0534,28.4976,28.4818,38.8346,43.0861,51.3997,54.064,29.1508,23.6725,32.3817,43.1563,42.5647,23.029,49.3908,45.1604,14.7063,20.5889,28.5947,16.9263,36.6871,0.023,9.6214,8.1641,18.1339,57.2319,21.3048,35.8241,37.8653,38.3574,58.2242
四川,35.8813,38.5149,21.1892,17.8919,46.0572,40.7412,50.4185,60.6539,34.6914,16.6016,35.7462,28.1245,38.8416,36.7131,48.7349,47.6496,19.7155,53.1606,37.0513,21.5289,44.4077,9.6234,0.0441,15.5409,16.7053,45.1303,13.2458,27.5689,36.3635,26.078,61.0512
贵州,45.6755,37.8337,38.5198,32.9289,42.5671,59.6988,59.8059,68.5654,37.6448,31.9575,36.644,44.6682,40.7899,67.4248,43.0876,61.2061,25.9459,34.3384,30.0405,16.5208,30.11,8.1731,15.5335,0.0183,6.8496,68.7156,26.3655,43.3385,37.5838,45.113,77.8354
云南,52.3575,47.9531,48.4656,38.4137,35.8642,60.4685,62.4656,73.5519,51.8529,39.4534,37.413,51.8943,39.6087,46.7364,45.3423,44.4889,36.1574,43.4293,31.2097,36.0669,39.1221,18.1302,16.717,6.8501,0.0156,62.4074,33.4574,57.2754,51.2378,56.0591,78.9179
西藏,78.2423,76.1085,75.9461,70.3302,83.7313,85.0839,94.1967,97.6601,66.5976,64.4362,65.1922,64.1014,75.7308,84.209,78.8948,84.5031,66.4402,84.2783,66.7427,77.7535,73.3442,57.3309,45.136,68.642,62.3956,2.186,39.6284,49.4486,23.7168,54.9127,76.7453
陕西,17.812,18.0195,25.295,11.193,18.0204,27.4553,47.2861,42.4266,17.7338,7.7832,26.8068,30.4761,31.1562,20.0296,43.6622,34.3943,14.7672,42.9804,40.9689,40.8119,46.3011,21.3042,13.2397,26.3648,33.4497,39.2487,0.0377,10.7223,13.7822,16.8999,42.6702
甘肃,31.8973,25.944,20.3497,15.2806,21.5695,35.8037,44.726,52.3,28.5841,20.2641,36.4301,36.8791,44.4165,39.7982,63.5861,50.2688,27.1417,51.9948,46.0834,53.6513,53.6024,35.8292,27.5807,43.3394,57.6413,48.622,10.7201,2.0508,4.3486,15.6083,56.1924
青海,25.5577,37.1084,26.6179,18.4848,26.8144,39.5725,46.8006,52.8393,29.2939,22.9028,41.2907,38.3771,49.1414,47.1671,56.8615,57.5821,27.2568,46.9552,46.0546,52.7506,53.1779,38.511,36.3754,37.5878,51.2366,23.7063,13.7896,4.3494,0.0184,10.0963,64.0347
宁夏,17.5986,26.2611,20.48,8.8406,15.0168,41.1513,34.488,41.9945,28.0183,22.3843,36.0437,32.2532,37.8022,48.4973,73.3492,43.6846,28.0329,59.183,56.0625,60.7493,62.7531,38.3599,26.0783,45.0974,56.0519,54.913,16.9065,15.2633,10.0676,0.0344,57.6762
