 ,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,山东,河南,上海,江苏,浙江,安徽,福建,江西,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
北京,0.0236,7.4049,5.7028,9.4218,10.2439,21.925,17.4085,19.8523,16.0182,11.1017,23.8024,17.3934,25.3176,20.2801,31.498,29.5143,21.7516,29.7439,36.8958,44.4037,47.6732,51.0746,35.1136,53.2634,47.5017,55.6057,22.1042,25.8498,29.6205,21.2244,48.0524
天津,7.3868,0.2724,10.6807,18.3345,14.9931,23.22,23.3541,22.6208,13.4256,13.9294,19.2159,13.9414,24.7108,19.1209,36.3304,27.4234,24.4213,34.6547,39.1305,49.4633,61.8292,45.6935,36.4612,38.3988,59.4944,55.0326,24.9069,25.8272,33.8854,27.5505,61.2051
河北,5.7076,10.6869,0.017,4.248,18.8459,15.9504,20.06,21.7755,18.2948,18.1528,24.6843,16.2502,24.2138,34.1089,37.6982,26.9013,19.3818,26.9136,30.8783,38.5881,37.6636,38.8605,36.44,31.944,49.558,60.6407,25.267,31.3649,32.4997,20.8976,54.5484
山西,10.1047,17.6568,4.2528,0.0197,12.489,27.5977,23.8073,37.5274,20.5906,10.6644,32.009,25.7075,25.1191,23.773,35.3547,26.3112,20.0113,26.3778,43.0817,42.9504,46.7785,63.6685,33.9427,47.3832,46.27,59.4296,17.5909,21.5272,41.5377,29.0749,51.104
内蒙古,11.2971,14.9972,18.8443,11.3309,0.0202,30.4602,28.2702,25.4343,22.2752,28.0062,28.2351,24.3333,33.2393,29.8614,50.8938,31.3978,26.8574,36.7106,44.3909,52.2227,56.2471,49.8002,33.2108,50.9856,43.4389,64.8917,16.1426,23.9118,35.4645,27.9646,51.3167
辽宁,21.9448,24.0495,15.4687,27.5917,30.4556,0.0171,13.2089,13.1336,37.6782,21.5822,36.2121,31.9082,34.3265,37.4498,59.8703,43.7198,44.6661,64.9395,45.188,53.6034,59.3416,73.4649,72.4265,66.267,73.8798,63.556,62.0543,39.8925,39.1953,35.4518,61.634
吉林,17.3983,22.651,20.0659,23.9282,28.2733,15.0065,0.0286,25.9808,35.6026,27.261,33.1018,37.0383,37.6964,34.9931,45.7984,52.9712,37.3453,51.9161,51.4956,72.2721,69.237,68.2089,49.2628,62.5828,61.3098,73.3388,32.766,41.1738,47.9438,31.8997,59.6781
黑龙江,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山东,16.0731,13.4273,18.2895,20.5914,22.2681,36.6773,35.257,29.8485,0.0276,30.9159,15.7122,20.3964,16.6223,23.8372,46.9294,26.908,30.0629,33.3639,45.2024,53.1101,37.5007,42.5314,46.0092,43.9775,58.6112,87.179,29.866,55.7646,38.5859,38.2189,63.0165
河南,11.0879,13.1783,18.0702,10.6571,22.0614,21.5745,27.2457,32.2248,30.8927,0.0371,24.6074,19.7129,21.9893,32.4233,33.2142,21.7064,13.4918,18.0404,28.7357,57.9058,38.5222,29.8158,25.4455,37.5796,40.2398,66.5877,13.5798,34.4709,42.612,35.3331,51.3512
