AS Number,All Relationships,Peer,Transit,Transit(as Provider),Transit(as Customer)
AS4134,201,120,81,76,5
AS4538,53,5,48,41,7
AS4611,2,0,2,0,2
AS4808,78,0,78,76,2
AS4809,413,142,271,254,17
AS4812,53,1,52,50,2
AS4813,6,0,6,5,1
AS4815,0,0,0,0,0
AS4816,6,1,5,4,1
AS4835,2,0,2,1,1
AS4837,115,57,58,51,7
AS4842,5,2,3,0,3
AS4847,99,0,99,97,2
AS4859,1,0,1,0,1
AS7497,39,19,20,14,6
AS7638,0,0,0,0,0
AS7640,1,0,1,0,1
AS7641,8,1,7,4,3
AS9298,3,0,3,0,3
AS9306,2,0,2,0,2
AS9308,4,0,4,0,4
AS9389,2,0,2,0,2
AS9391,1,0,1,0,1
AS9394,12,2,10,8,2
AS9395,1,0,1,0,1
AS9401,1,1,0,0,0
AS9405,1,0,1,0,1
AS9535,19,17,2,0,2
AS9800,0,0,0,0,0
AS9801,1,0,1,0,1
AS9802,1,0,1,0,1
AS9803,2,0,2,0,2
AS9806,1,0,1,0,1
AS9807,2,0,2,0,2
AS9808,39,1,38,35,3
AS9809,3,0,3,0,3
AS9810,2,0,2,0,2
AS9811,2,0,2,0,2
AS9812,3,0,3,0,3
AS9814,4,0,4,1,3
AS9886,1,0,1,0,1
AS9929,22,8,14,7,7
AS9939,4,0,4,0,4
AS10206,2,0,2,1,1
AS10212,10,0,10,1,9
AS17428,8,0,8,1,7
AS17429,1,0,1,0,1
AS17430,4,0,4,0,4
AS17431,0,0,0,0,0
AS17457,12,9,3,1,2
AS17490,1,0,1,0,1
AS17621,51,1,50,49,1
AS17622,7,0,7,5,2
AS17623,18,0,18,16,2
AS17633,1,0,1,0,1
AS17638,4,0,4,3,1
AS17739,2,0,2,0,2
AS17775,3,0,3,0,3
AS17776,1,0,1,0,1
AS17780,0,0,0,0,0
AS17785,0,0,0,0,0
AS17799,2,0,2,1,1
AS17816,5,0,5,3,2
AS17897,1,0,1,0,1
AS17962,2,0,2,0,2
AS17964,5,0,5,0,5
AS17966,1,0,1,0,1
AS17968,1,0,1,0,1
AS17969,2,0,2,0,2
AS18118,2,0,2,0,2
AS18239,2,0,2,0,2
AS18241,2,0,2,0,2
AS18242,1,0,1,0,1
AS18243,3,0,3,0,3
AS18245,4,0,4,0,4
AS18257,3,0,3,0,3
AS18344,1,0,1,0,1
AS23650,6,0,6,5,1
AS23724,20,0,20,18,2
AS23771,2,0,2,0,2
AS23839,1,0,1,0,1
AS23840,1,0,1,0,1
AS23841,0,0,0,0,0
AS23842,1,0,1,0,1
AS23844,4,0,4,0,4
AS23848,7,0,7,0,7
AS23851,1,0,1,0,1
AS23852,1,0,1,0,1
AS23853,3,0,3,0,3
AS23910,3,1,2,0,2
AS23911,10,6,4,2,2
AS24059,0,0,0,0,0
AS24134,3,0,3,0,3
AS24137,3,1,2,0,2
