Number,ASN,Name,IPv4 Num IPs,IPv6 Num IPs(/64),AsPageUrl
1,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",114606080,17596483305472,https://whois.ipip.net/AS4134
2,AS4538,"ERX-CERNET-BKB China Education and Research Network Center, CN",18218240,17592186109952,https://whois.ipip.net/AS4538
3,AS4611,"XINHUANET-AS CNNIC member, CN",4864,0,https://whois.ipip.net/AS4611
4,AS4808,"CHINA169-BJ China Unicom Beijing Province Network, CN",7132416,146370854912,https://whois.ipip.net/AS4808
5,AS4809,"CHINATELECOM-CORE-WAN-CN2 China Telecom Next Generation Carrier Network, CN",679008,4302569472,https://whois.ipip.net/AS4809
6,AS4812,"CHINANET-SH-AP China Telecom (Group), CN",8670784,209195565056,https://whois.ipip.net/AS4812
7,AS4813,"BACKBONE-GUANGDONG-AP China Telecom(Group), CN",46944,536870912,https://whois.ipip.net/AS4813
8,AS4815,"CHINANET-IDC-SH China Telecom (Group), CN",512,0,https://whois.ipip.net/AS4815
9,AS4816,"CHINANET-IDC-GD China Telecom (Group), CN",383120,822280192,https://whois.ipip.net/AS4816
10,AS4835,"CHINANET-IDC-SN China Telecom (Group), CN",629504,268435456,https://whois.ipip.net/AS4835
11,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",58832896,1206349135872,https://whois.ipip.net/AS4837
12,AS4842,"TIANHAI-AS-AP Tianhai InfoTech, CN",1024,2293760,https://whois.ipip.net/AS4842
13,AS4847,"CNIX-AP China Networks Inter-Exchange, CN",7434240,52076609536,https://whois.ipip.net/AS4847
14,AS4859,"CEISTNET-AS-AP The State Information Center of P.R.China, CN",4096,4294967296,https://whois.ipip.net/AS4859
15,AS7497,"CSTNET-AS-AP Computer Network Information Center, CN",2157824,77309411328,https://whois.ipip.net/AS7497
16,AS7638,"BJ-INTERWAY BTV INTERWAY CULTURAL COMMUNICATIONS, CN",8192,0,https://whois.ipip.net/AS7638
17,AS7640,"CITICNET China International Trust & Investment Corporation Management Information Center, CN",4096,0,https://whois.ipip.net/AS7640
18,AS7641,"CHINABTN China Broadcasting TV Net, CN",1189888,8800387989504,https://whois.ipip.net/AS7641
19,AS9298,"GHXTNET Beijing GuanghuanXuntong Digital Technology Co.,LTD., CN",73728,0,https://whois.ipip.net/AS9298
20,AS9306,"CIECC-AS-AP China International Electronic Commerce Center, CN",98304,0,https://whois.ipip.net/AS9306
21,AS9308,"CHINA-ABITCOOL Abitcool(China) Inc., CN",177664,0,https://whois.ipip.net/AS9308
22,AS9389,"UNSPECIFIED BEIJING SHENZHOU GREATWALL COMMUNICATION, CN",204800,0,https://whois.ipip.net/AS9389
23,AS9391,"UNSPECIFIED GUANGDONG HIGHWAY BROADBAND NETWORK SERVICE CENTE, CN",16384,0,https://whois.ipip.net/AS9391
24,AS9394,"CTTNET China TieTong Telecommunications Corporation, CN",20238080,0,https://whois.ipip.net/AS9394
25,AS9395,"GXBLNET BeiJing Guoxin bilin Telecom Technology Co.,Ltd, CN",796672,0,https://whois.ipip.net/AS9395
26,AS9401,"NLC-CN-AS National Library of China, CN",768,0,https://whois.ipip.net/AS9401
27,AS9405,"TPS-CN-AS Test platform Service Center, CN",1024,4294967296,https://whois.ipip.net/AS9405
28,AS9535,"ONE-NET-HK INTERNET-SOLUTION -HK, CN",26624,0,https://whois.ipip.net/AS9535
29,AS9800,"UNICOM CHINA UNICOM, CN",0,4294967296,https://whois.ipip.net/AS9800
30,AS9801,"ZGCIE-CNNIC Beijing Zhongguancun Information Technology Co. Ltd, CN",159488,0,https://whois.ipip.net/AS9801
31,AS9802,"CHINA-ABITCOOL Abitcool(China) Inc., CN",369664,0,https://whois.ipip.net/AS9802
32,AS9803,"JINGXUN Beijing Jingxun Public Information Technology Co., Ltd, CN",124928,0,https://whois.ipip.net/AS9803
33,AS9806,"BJENET Beijing Educational Information Network Service Center Co., Ltd, CN",4096,0,https://whois.ipip.net/AS9806
34,AS9807,"GOVSTATS Data Management Centre National Bureau of Statistics of China, CN",16384,0,https://whois.ipip.net/AS9807
35,AS9808,"CMNET-GD Guangdong Mobile Communication Co.Ltd., CN",37590272,17596481011712,https://whois.ipip.net/AS9808
36,AS9809,"NOVANET Nova Network Co.LtdRoom 1205, Building A, Science & Technology Innovation Plaza, Tianan Cyber Park, Futian District, District, Shenzhen,China, CN",16640,0,https://whois.ipip.net/AS9809
37,AS9810,"TNSNET Beijing Times Netstar Technology Co.,Ltd, CN",5888,0,https://whois.ipip.net/AS9810
38,AS9811,"BJGY srit corp.,beijing., CN",198400,0,https://whois.ipip.net/AS9811
39,AS9812,"CNNIC-CN-COLNET Oriental Cable Network Co., Ltd., CN",1785856,0,https://whois.ipip.net/AS9812
40,AS9814,"FIBRLINK Beijing FibrLINK Networks Co.,Ltd., CN",343808,8589934592,https://whois.ipip.net/AS9814
41,AS9886,"MC-AS-AP MercyCloud Network, CN",256,65536,https://whois.ipip.net/AS9886
42,AS9929,"CUII CHINA UNICOM Industrial Internet Backbone, CN",714752,1073872896,https://whois.ipip.net/AS9929
43,AS9939,"ANLAI-AP AS for Anlai, CN",57344,0,https://whois.ipip.net/AS9939
44,AS10206,"CUZW-CN China Unicom Zhongwei Cloud, CN",6144,4429185024,https://whois.ipip.net/AS10206
45,AS10212,"CHINAENTERCOM China Enterprise Communications Ltd., CN",110592,4294967296,https://whois.ipip.net/AS10212
46,AS17428,"CHINA-ABITCOOL 21Vianet.Co.,Ltd, CN",19200,4294967296,https://whois.ipip.net/AS17428
47,AS17429,"BGCTVNET BEIJING GEHUA CATV NETWORK CO.LTD, CN",999424,0,https://whois.ipip.net/AS17429
48,AS17430,"GWBN-CHENGDU Beijing XiRang Media Cultural Co., Ltd., CN",1201152,0,https://whois.ipip.net/AS17430
49,AS17431,"TONET Beijing TONEK Information Technology Development Company, CN",72192,0,https://whois.ipip.net/AS17431
50,AS17457,"YAHOO-AU-AP internet content provider, CN",5888,4294967296,https://whois.ipip.net/AS17457
51,AS17490,"ETFIBER-AS Broadhand IP Network based DWDM, CN",36864,0,https://whois.ipip.net/AS17490
52,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",1076992,19637731328,https://whois.ipip.net/AS17621
53,AS17622,"CNCGROUP-GZ China Unicom Guangzhou network, CN",832768,1681391616,https://whois.ipip.net/AS17622
54,AS17623,"CNCGROUP-SZ China Unicom Shenzen network, CN",675072,346554368,https://whois.ipip.net/AS17623
55,AS17633,"CHINATELECOM-SD-AS-AP ASN for Shandong Provincial Net of CT, CN",8192,0,https://whois.ipip.net/AS17633
56,AS17638,"CHINATELECOM-TJ-AS-AP ASN for TIANJIN Provincial Net of CT, CN",723456,25769803776,https://whois.ipip.net/AS17638
57,AS17739,"HAPLINK-CN-AP Shanghai Telecom Haplink Network Co., Ltd, CN",8192,0,https://whois.ipip.net/AS17739
58,AS17775,"STN-CN shanghai science and technology network communication limited company, CN",62208,0,https://whois.ipip.net/AS17775
59,AS17776,"CHINAENTERCOM China Enterprise Communications Ltd., CN",256,0,https://whois.ipip.net/AS17776
60,AS17780,"BJENET BEIJING EDUCATION INFORMATION SERVICE CENTER, CN",512,0,https://whois.ipip.net/AS17780
61,AS17785,"CHINATELECOM-HA-AS-AP asn for Henan Provincial Net of CT, CN",1280,0,https://whois.ipip.net/AS17785
62,AS17799,"CHINATELECOM-LN-AS-AP asn for Liaoning Provincial Net of CT, CN",212480,536870912,https://whois.ipip.net/AS17799
63,AS17816,"CHINA169-GZ China Unicom IP network China169 Guangdong province, CN",4794368,217432719360,https://whois.ipip.net/AS17816
64,AS17897,"CHINATELECOM-HLJ-AS-AP asn for Heilongjiang Provincial Net of CT, CN",165888,402653184,https://whois.ipip.net/AS17897
