1,google.com,AS15169
2,youtube.com,AS15169
3,yahoo.co.jp,AS23816,AS24572
4,amazon.co.jp,AS16509
5,google.co.jp,AS15169
6,wikipedia.org,AS14907
7,rakuten.co.jp,AS23820
8,facebook.com,AS32934
9,tmall.com,AS37963
10,qq.com,AS4837
11,amazon.com,AS16509,AS3910
12,yahoo.com,AS36646,AS26101,AS36647,AS10310
13,sohu.com,AS23724,AS4134,AS9808,AS4808
14,baidu.com,AS23724,AS4134,AS9808
15,taobao.com,AS37963
16,nicovideo.jp,AS38634
17,google.com.sg,AS15169
18,twitter.com,AS13414
19,login.tmall.com,AS24429
20,fc2.com,AS16509
21,jd.com,AS23724,AS9808,AS133119
22,360.cn,AS23724
23,apple.com,AS714
24,ameblo.jp,AS54113
25,instagram.com,AS14618
26,netflix.com,AS16509
27,ebay.com,AS11643
28,sina.com.cn,AS4808
29,dmm.co.jp,AS23620
30,asos.com,AS23620
31,pages.tmall.com,AS24429
32,microsoft.com,AS8075
33,live.com,AS8068
34,kakaku.com,AS59123
35,weibo.com,AS37936
36,office.com,AS8068,AS8075
37,adobe.com,AS44786,AS1313
38,lazada.sg,AS44786,AS1313
39,dropbox.com,AS19679
40,livedoor.jp,AS38631
41,pornhub.com,AS29789,AS30361
42,msn.com,AS8075
43,line.me,AS38631
44,stackoverflow.com,AS54113
45,livedoor.com,AS38631
46,bing.com,AS8068,AS8075
47,mercari.com,AS16509
48,nhk.or.jp
49,goo.ne.jp
50,indeed.com,AS36351
