United States,245573
Italy,115242
Spain,112065
Germany,84794
China,82464
France,59929
Iran,50468
United Kingdom,34173
Switzerland,18827
Turkey,18135
Belgium,15348
Netherlands,14788
Canada,11284
Austria,11199
South Korea,10062
Portugal,9034
Brazil,8066
Israel,6857
Sweden,5568
Australia,5330
Norway,5218
Russia,4149
Czechia,3869
Ireland,3849
Denmark,3575
Chile,3404
Ecuador,3163
Malaysia,3116
Poland,2946
Romania,2738
Philippines,2633
Japan,2617
India,2567
Luxembourg,2487
Pakistan,2450
Thailand,1978
Saudi Arabia,1885
Indonesia,1790
Finland,1615
Greece,1544
