4134,"CHINANET-BACKBONE - No.31,Jin-rong Street, CN",23650,"CHINANET-Jiangsu-Province-IDC - China Telecom, CN"
4134,"CHINANET-BACKBONE - No.31,Jin-rong Street, CN",134769,"ChinaNet-Jiangsu-Changzhou-Liyang-IDC - ChinaNet Jiangsu Changzhou Liyang IDC network, CN"
4134,"CHINANET-BACKBONE - No.31,Jin-rong Street, CN",134770,"CHINANET-JIANGSU-SUZHOU-TAIHU-IDC - CHINANET Jiangsu province Suzhou taihu IDC network, CN"
4134,"CHINANET-BACKBONE - No.31,Jin-rong Street, CN",137689,"CHINATELECOM-IOT-JIANGSU-Network - IOT Jiangsu network, Chinatelecom, P.R.China., CN"
4134,"CHINANET-BACKBONE - No.31,Jin-rong Street, CN",137697,"CHINATELECOM-JiangSu-YangZhou-IDC - CHINATELECOM JiangSu YangZhou IDC networkdescr: YangZhou , Jiangsu Province, P.R.China., CN"
4134,"CHINANET-BACKBONE - No.31,Jin-rong Street, CN",137699,"CHINATELECOM-Jiangsu-Suqian-IDC - CHINATELECOM Jiangsu Suqian IDC network, CN"
4134,"CHINANET-BACKBONE - No.31,Jin-rong Street, CN",139584,"CHINANET-Jiangsu-Nanjing-MAN - China Telecom, CN"
55998,"CNLINKNET - CNLink Network Technology Ltd., CN",23650,"CHINANET-Jiangsu-Province-IDC - China Telecom, CN"
131325,"CHINATELECOM-JIANGSU-NANTONG-MAN - CHINATELECOM JIANGSU province NANTONG MAN network, CN",23650,"CHINANET-Jiangsu-Province-IDC - China Telecom, CN"
134417,"CHINATELECOM-Jiangsu-Nanjing-Hexi-IDC - Nanjing, CN",23650,"CHINANET-Jiangsu-Province-IDC - China Telecom, CN"
137702,"CHINATELECOM-JIANGSU-NANJING-IDC - China Telecom, CN",23650,"CHINANET-Jiangsu-Province-IDC - China Telecom, CN"
