40028,3z Canada
40028,3z Canada
13851,7L.com
21552,About Communications
21804,Access Communications
46195,"Activo, Inc."
12041,Afilias Limited
11522,Agilis Networks
394676,AirGate Technologies Inc.
20940,Akamai Technologies
45102,Alibaba Hong Kong Limited
393681,All Blue Solutions
32489,Amanah Tech Inc.
16509,Amazon.com
16509,Amazon.com
42473,ANEXIA Internetdienstleistungs GmbH
13768,Aptum Technologies (Canada) Inc.
112,AS112 Project
54527,Astute Internet
2685,AT&T Global Services Canada Co.
398764,Athena Cloud Limited
2635,Automattic
54182,Axia Connect Limited
21949,Beanfield Technologies Inc.
21949,Beanfield Technologies Inc.
21552,bluArc Communications
394678,Bluewater Regional Networks
43996,Booking.com
23419,Broad-Connect Telecom Inc.
36008,Broadridge Customer Communications Canada
33166,"Broadridge Financial Solutions, Inc."
3300,BT Global Services
40449,Business Development Bank of Canada
33139,Canaca Com
19234,Canada Web Hosting
27324,Canadian Broadcasting Corporation
7741,Canadian Imperial Bank of Commerce
14121,Canadian Imperial Bank of Commerce (B)
27299,Canadian Internet Registration Authority
27299,Canadian Internet Registration Authority
55195,Canadian Internet Registration Authority (DNS)
6509,CANARIE Inc.
6509,CANARIE Inc.
393845,Carbon60 Networks
33541,ccRoute Inc
199330,CentralNIC Plc
60890,CentralNIC Plc
14453,CentriLogic Inc.
58453,China Mobile International
20473,Choopa LLC
54614,CIK Telecom Inc.
36218,Cirrus Tech Ltd.
16417,Cisco HPS
13445,Cisco Webex
53913,City Wide Communications
393990,Clearcable Networks
13335,"CloudFlare, Inc."
394233,Cloudwifi Inc.
36445,Coextro
7992,Cogeco Cable Canada Inc.
54351,Communicate Freely
54164,Computer Talk
15128,Comwave Telecom Inc.
15128,Comwave Telecom Inc.
16949,Connex Telecommunications Inc.
14537,Continent8
54002,CRS Networks Inc.
31798,DataCity
14061,"Digital Ocean, Inc."
11814,"Distributel Communications, Ltd."
53997,"DNC Holdings, Inc"
34655,Docler Holding S.C  r.l.
19679,Dropbox Inc.
63419,Dufferin-Peel Catholic District School Board
398717,Durham Broadband
13657,E-Gate Communications Inc.
11260,Eastlink Limited
1403,EBOX
30528,EI Catalyst Corp.
11635,Envi Network
21513,Epik Networks
7794,Execulink Telecom Inc.
53668,ExperiencePoint Inc.
3367,F6 Networks Inc
32934,Facebook Inc.
32934,Facebook Inc.
54113,Fastly Inc.
54113,Fastly Inc.
13895,FiberConX Communications
13895,FiberConX Communications
36493,Fibernetics / 295.ca
22652,Fibrenoire Internet
395570,FibreStream Inc.
32678,Fidalia Networks Inc
30539,Flowfinity Wireless Inc.
25948,Fonthill Media Network
44444,Forcepoint
36273,"Freedom Mobile, Inc. (I.T.)"
7311,Frontier Networks
53338,Frontline Broadband Inc.
53338,Frontline Broadband Inc.
14500,"Galaxybroadband Communications, Inc"
62782,Gazelle Communications
62563,GlobalTeleHost Corp
62513,GoCodeIT Inc
15169,"Google, Inc."
15169,"Google, Inc."
19465,Gosfield North Communications
397433,The Great-West Life Assurance Company
397433,The Great-West Life Assurance Company
549,GTAnet Networking
393457,HCE Telecom Inc
19117,Heavy Computing
396158,HostCircle Inc.
