0, !, 185.1.68.3, AS60917, , DE-CIX Madrid, ES, Madrid
1, !, 5.57.80.174, AS28792, LoNAP, London Network Access Point, GB//Kingdom United, London
2, !, 206.72.211.253, AS19996, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
3, !, 203.190.230.9, AS58793, Equinix Tokyo, Equinix Tokyo, JP, Tokyo
4, !, 217.29.68.84, AS21309, MIX-IT, Milan Internet eXchange, IT, Milan
5, !, 198.32.124.185, AS8674, NOTA, NAP of the Americas, US, Miami
6, !, 196.46.25.71, AS37439, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
7, !, 195.42.144.10, AS41690, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
8, !, 210.171.224.14, AS8674, JPIX, Japan Internet Exchange, JP, Tokyo
9, !, 195.42.144.206, AS8262, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
10, !, 203.190.230.88, AS9605, Equinix Tokyo, Equinix Tokyo, JP, Tokyo
11, !, 193.25.180.166, AS202023, DTEL-IX, Digital Telecom Internet Exchange, UA, Kiev
12, !, 193.239.117.67, AS1136, NL-IX, Neutral Internet Exchange, NL, Amsterdam
13, !, 206.126.236.110, AS3856, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
14, !, 195.66.224.213, AS49605, LINX, London Internet Exchange, GB//Kingdom United, London
15, !, 206.72.211.25, AS17498, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
16, !, 206.223.123.123, AS22822, Equinix Los Angeles, Equinix Los Angeles IBX, US, Angeles Los
17, !, 206.130.10.95, AS31769, DE-CIX New York, DE-CIX the New York / New Jersey Internet Exchange, US, Jersey York New
18, !, 80.81.194.10, AS12874, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
19, !, 37.77.36.23, AS200780, Hopus, Hopus the routed exchange, FR, Geneva Lyon Paris
20, !, 195.182.218.115, AS20940, PLIX, Polish Internet Exchange, PL, Warsaw
21, !, 195.42.144.17, AS42, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
22, !, 103.16.102.74, AS24538, SGIX, Singapore Internet Exchange, SG, Singapore
23, !, 192.203.154.55, AS9834, APE, Auckland Peering Exchange, NZ//Zealand New, Auckland
24, !, 198.179.18.5, AS6939, QIX, Quebec Internet Exchange, CA, Montreal
25, !, 195.66.225.134, AS8473, LINX, London Internet Exchange, GB//Kingdom United, London
26, !, 195.66.236.41, AS20799, LINX, London Internet Exchange, GB//Kingdom United, London
27, !, 192.203.154.50, AS17412, APE, Auckland Peering Exchange, NZ//Zealand New, Auckland
28, !, 80.249.212.38, AS20473, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
29, !, 185.1.68.6, AS39020, , DE-CIX Madrid, ES, Madrid
30, !, 217.29.66.208, AS51708, MIX, Milan Internet eXchange, IT, Milan
31, ?, 187.16.219.9, AS52545, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
32, !, 178.18.230.48, AS34700, DATAIX, Peering LTD, RU, RU St Petersburg Moscow Omsk Ekaterinburg Khabarovsk Novosibirs
33, !, 195.191.170.15, AS44124, EPIX.Katowice, Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie, PL, Katowice Silesia
34, !, 195.66.224.241, AS30827, LINX, London Internet Exchange, GB//Kingdom United, London
35, ?, 198.32.118.187, AS40034, Equinix-NY, Equinix-NY, Equinix New York, Equinix Internet Exchange New York, US, York New
36, !, 194.68.128.57, AS197595, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
