PTT S?o Paulo,2130,BR,S?o Paulo,ix.br
DE-CIX Frankfurt,1079,DE,Frankfurt,www.de-cix.net
AMS-IX,904,NL,Amsterdam,www.ams-ix.net
LINX Juniper LAN,866,GB,London,www.linx.net
EPIX Katowice,539,PL,Katowice,www.epix.net.pl
MSK-IX Moscow,500,RU,Moscow,www.msk-ix.ru
PTT Rio de Janeiro,496,BR,Rio de Janeiro,ix.br
Data IX,488,RU,Frankfurt,www.dataix.ru
NAPAfrica IX Johannesburg,477,ZA,Johannesburg,www.napafrica.net
NL-IX,471,NL,Amsterdam,www.nl-ix.net
PTT Fortaleza,471,BR,Fortaleza,ix.br
4b42 Internet Exchange Point,413,CH,Zurich,www.4ixp.com
Equinix Paris,402,FR,Paris,www.equinix-ix.fr
EPIX Warsaw,389,PL,Warsaw,www.epix.net.pl
France-IX,387,FR,Paris,www.franceix.net
Equinix Singapore,374,SG,Singapore,ix.equinix.com
LINX Extreme LAN,373,GB,London,www.linx.net
Mumbai IX,360,IN,Mumbai,www.de-cix.in
SIX,356,US,Seattle,www.seattleix.net
HKIX,351,HK,Hong Kong,www.hkix.net
IIX,347,ID,Jakarta,www.iix.net.id
Equinix Ashburn,343,US,Ashburn,ix.equinix.com
KleyReX,337,DE,Frankfurt,www.kleyrex.net
Any2 California,337,US,Los Angeles,www.coresite.com
GigaNET,325,UA,Kiev,giganet.ua
MIX-IT,314,IT,Milan,www.mix-it.net
MegaIX Sydney,310,AU,Sydney,megaport.com
PITER-IX Moscow,304,RU,Moscow,piter-ix.ru
OpenIXP / NiCE,286,ID,Indonesia,www.openixp.net
PTT Porto Alegre,283,BR,Porto Alegre,ix.br
TORIX,279,CA,Toronto,www.torix.ca
DTEL-IX,264,UA,Kiev,dtel-ix.net
DE-CIX New York,263,US,New York,www.de-cix.net
NYIIX,263,US,New York,www.nyiix.net
LoNAP,261,GB,London,www.lonap.net
JPIX Tokyo,260,JP,Tokyo,www.jpix.ad.jp
DE-CIX Dusseldorf,259,DE,D¨¹sseldorf,www.de-cix.net
BBIX Tokyo,250,JP,Tokyo,www.bbix.net
Equinix Chicago,245,US,Chicago,ix.equinix.com
IX Australia NSW,242,AU,Sydney,www.ix.asn.au
LocIX Frankfurt,241,DE,Frankfurt,locix.online
Equinix Sydney,240,AU,Sydney,ix.equinix.com
SwissIX,226,CH,Zurich,www.swissix.ch
NAPAfrica IX Cape Town,225,ZA,Cape Town,www.teraco.co.za
DE-CIX Hamburg,221,DE,Hamburg,www.de-cix.net
DE-CIX Munich,221,DE,Munich,www.de-cix.net
DE-CIX Madrid,213,ES,Madrid,www.de-cix.net
EVIX,212,US,Fremont,evix.org
Global-IX,211,RU,St.Petersburg,global-ix.ru
Equinix San Jose,210,US,San Jose,ix.equinix.com
UA-IX,207,UA,Kiev,www.ua-ix.net.ua
SPEED-IX,201,NL,Dronten,speed-ix.net
PLIX,199,PL,Warsaw,ix.equinix.com
