PTT S?o Paulo,2130,BR,S?o Paulo,ix.br,-23.6815314,-46.8754982
DE-CIX Frankfurt,1079,DE,Frankfurt,www.de-cix.net,50.1213479,8.4964791
AMS-IX,904,NL,Amsterdam,www.ams-ix.net,52.3547925,4.7638761
LINX Juniper LAN,866,GB,London,www.linx.net,51.5287352,-0.3817846
EPIX Katowice,539,PL,Katowice,www.epix.net.pl,50.2138079,18.867108
MSK-IX Moscow,500,RU,Moscow,www.msk-ix.ru,55.5815244,36.8250994
PTT Rio de Janeiro,496,BR,Rio de Janeiro,ix.br,-22.9132525,-43.7261814
Data IX,488,RU,Frankfurt,www.dataix.ru,50.1233111,8.5399526
NAPAfrica IX Johannesburg,477,ZA,Johannesburg,www.napafrica.net,-26.1713505,27.9699838
NL-IX,471,NL,Amsterdam,www.nl-ix.net,52.3547925,4.7638761
PTT Fortaleza,471,BR,Fortaleza,ix.br,-3.7931403,-38.5896564
4b42 Internet Exchange Point,413,CH,Zurich,www.4ixp.com,47.3775499,8.4666748
Equinix Paris,402,FR,Paris,www.equinix-ix.fr,48.8589507,2.2770197
EPIX Warsaw,389,PL,Warsaw,www.epix.net.pl,52.2330269,20.7810087
France-IX,387,FR,Paris,www.franceix.net,48.8589507,2.2770197
Equinix Singapore,374,SG,Singapore,ix.equinix.com,1.3143394,103.704161
LINX Extreme LAN,373,GB,London,www.linx.net,51.5287352,-0.3817846
Mumbai IX,360,IN,Mumbai,www.de-cix.in,19.0825223,72.7410976
SIX,356,US,Seattle,www.seattleix.net,47.6131746,-122.4821496
HKIX,351,HK,Hong Kong,www.hkix.net,22.3531176,113.8474978
IIX,347,ID,Jakarta,www.iix.net.id,-6.2293867,106.6894291
Equinix Ashburn,343,US,Ashburn,ix.equinix.com,39.0300728,-77.5471636
KleyReX,337,DE,Frankfurt,www.kleyrex.net,50.1213479,8.4964791
Any2 California,337,US,Los Angeles,www.coresite.com,34.0207305,-118.6919296
GigaNET,325,UA,Kiev,giganet.ua,50.4021368,30.2525038
MIX-IT,314,IT,Milan,www.mix-it.net,45.4628329,9.107692
MegaIX Sydney,310,AU,Sydney,megaport.com,-33.7744108,150.3719417
PITER-IX Moscow,304,RU,Moscow,piter-ix.ru,55.5815244,36.8250994
OpenIXP / NiCE,286,ID,Indonesia,www.openixp.net,30.4957732,108.5944382
PTT Porto Alegre,283,BR,Porto Alegre,ix.br,-30.1084987,-51.3172287
TORIX,279,CA,Toronto,www.torix.ca,43.7184038,-79.5181438
DTEL-IX,264,UA,Kiev,dtel-ix.net,50.4021368,30.2525038
DE-CIX New York,263,US,New York,www.de-cix.net,40.6976701,-74.2598743
NYIIX,263,US,New York,www.nyiix.net,40.6976701,-74.2598743
LoNAP,261,GB,London,www.lonap.net,51.5287352,-0.3817846
JPIX Tokyo,260,JP,Tokyo,www.jpix.ad.jp,35.6684415,139.6007808
DE-CIX Dusseldorf,259,DE,D¨¹sseldorf,www.de-cix.net,51.2385861,6.6742657
BBIX Tokyo,250,JP,Tokyo,www.bbix.net,35.6684415,139.6007808
Equinix Chicago,245,US,Chicago,ix.equinix.com,41.8339042,-88.0121566
IX Australia NSW,242,AU,Sydney,www.ix.asn.au,-33.7744108,150.3719417
LocIX Frankfurt,241,DE,Frankfurt,locix.online,50.1213479,8.4964791
Equinix Sydney,240,AU,Sydney,ix.equinix.com,-33.7744108,150.3719417
SwissIX,226,CH,Zurich,www.swissix.ch,47.3775499,8.4666748
NAPAfrica IX Cape Town,225,ZA,Cape Town,www.teraco.co.za,-33.9131287,18.095588
DE-CIX Hamburg,221,DE,Hamburg,www.de-cix.net,53.5586526,9.6476371
DE-CIX Munich,221,DE,Munich,www.de-cix.net,48.1550547,11.4017507
DE-CIX Madrid,213,ES,Madrid,www.de-cix.net,40.4381311,-3.8196229
EVIX,212,US,Fremont,evix.org,37.5305464,-122.0818594
Global-IX,211,RU,St.Petersburg,global-ix.ru,59.9399138,29.5342624
Equinix San Jose,210,US,San Jose,ix.equinix.com,37.2970778,-122.0976083
UA-IX,207,UA,Kiev,www.ua-ix.net.ua,50.4021368,30.2525038
SPEED-IX,201,NL,Dronten,speed-ix.net,52.5314498,5.585061
PLIX,199,PL,Warsaw,ix.equinix.com,52.2330269,20.7810087
Equinix Hong Kong,197,HK,Hong Kong,ix.equinix.com,22.3531176,113.8474978
JPNAP Tokyo,190,JP,Tokyo,www.jpnap.net,35.6684415,139.6007808
Equinix Dallas,184,US,Dallas,ix.equinix.com,32.8209296,-97.0117503
NIX.CZ,181,CZ,Prague,www.nix.cz,50.0598058,14.3255392
Extreme IX Mumbai,180,IN,Mumbai,extreme-ix.org,19.0825223,72.7410976
CABASE-BUE,177,AR,Buenos Aires,www.cabase.org.ar,-34.6154611,-58.5733845
PITER-IX St. Petersburg,176,RU,St. Petersburg,piter-ix.ru,59.9399138,29.5342624
Digital Realty | Telx Atlanta,171,US,Atlanta,ix.digitalrealty.com,33.7679192,-84.5606911
Peering.cz,168,CZ,Prague,www.peering.cz,50.0598058,14.3255392
W-IX,168,RU,Moscow,www.w-ix.ru,55.5815244,36.8250994
SGIX,167,SG,Singapore,www.sgix.sg,1.3143394,103.704161
Eurasia Peering IX,165,RU,Moscow,www.eurasiapeering.com,55.5815244,36.8250994
PTT Curitiba,163,BR,Curitiba,ix.br,-25.4947401,-49.4298855
MegaIX Melbourne,158,AU,Melbourne,megaport.com,-37.970154,144.4926753
Netnod Stockholm,157,SE,Stockholm,www.netnod.se,59.326242,17.8419695
VIX,154,AT,Vienna,www.vix.at,48.2208286,16.2399749
Equinix Miami (formerly NOTA),154,US,Miami,www.equinix.com,25.7825453,-80.2994994
CDIX,152,ID,Jakarta,www.cdix.id,-6.2293867,106.6894291
MICE,149,US,Minneapolis,www.micemn.net,44.9708543,-93.4015641
Equinix S?o Paulo,149,BR,S?o Paulo,www.equinix.com.br,-23.6815314,-46.8754982
NetIX,143,BG,Sofia,www.netix.net,42.6955992,23.1838608
Equinix Tokyo,143,JP,Tokyo,ix.equinix.com,35.6684415,139.6007808
NaMeX,141,IT,Rome,www.namex.it,41.9102415,12.3959119
Extreme IX,137,IN,Delhi,extreme-ix.org,28.6472799,76.8130637
PTT Belo Horizonte,136,BR,Belo Horizonte,ix.br,-19.9023386,-44.1041381
ESPANIX Lower LAN,135,ES,Madrid,www.espanix.net,40.4381311,-3.8196229
ECIX Dusseldorf,133,DE,Duesseldorf,www.ecix.net,51.2385861,6.6742657
FL-IX,133,US,Miami,www.communityix.org,25.7825453,-80.2994994
PIT Chile,130,CL,Santiago,www.pitchile.cl,-33.4718999,-70.910025
Equinix New York,127,US,New York,ix.equinix.com,40.6976701,-74.2598743
JKT-IX,126,ID,Jakarta,www.glc.ntt.com,-6.2293867,106.6894291
ECIX Frankfurt,124,DE,Frankfurt,www.ecix.net,50.1213479,8.4964791
IXManchester,123,GB,Manchester,www.linx.net,14.1585228,-106.5787775
JINX,123,ZA,Johannesburg,www.inx.net.za,-26.1713505,27.9699838
TPIX,122,PL,Warsaw,www.tpix.pl,52.2330269,20.7810087
FCIX,122,US,Fremont,fcix.net,37.5305464,-122.0818594
IX Australia VIC,121,AU,Melbourne,www.waia.asn.au,-37.970154,144.4926753
BCIX,118,DE,Berlin,www.bcix.de,52.5069312,13.1445465
MyIX,117,MY,Kuala Lumpur,www.myix.my,3.1388394,101.5469004
InterLAN,116,RO,Bucharest,www.interlan.ro,44.4379853,25.9545519
STHIX Stockholm,113,SE,Stockholm,www.sthix.net,59.326242,17.8419695
PTT Recife,113,BR,Recife,ix.br,-8.0418098,-35.0779377
NWAX,111,US,Portland,www.nwax.net,45.5428679,-122.7944126
PTT Salvador,111,BR,Salvador,ix.br,-12.8750723,-38.6418868
KCIX,110,US,Kansas City,www.kcix.net,39.0921167,-94.8559138
MegaIX Brisbane,110,AU,Brisbane,megaport.com,-27.3798035,152.4327088
BIX.BG,109,BG,Sofia,www.bix.bg,42.6955992,23.1838608
INEX,109,IE,Dublin,www.inex.ie,53.3244431,-6.3857882
DE-CIX Marseille,107,FR,Marseille,www.de-cix.net,43.280555,5.2404106
NAPAfrica IX Durban,106,ZA,Durban,www.napafrica.net,-29.8683061,30.9209113
PTT Bras¨ªlia,106,BR,Bras¨ªlia,ix.br,-15.7750655,-48.0773191
PTT Florian¨®polis,105,BR,Florian¨®polis,ix.br,-27.5707056,-48.7504762
MSK-IX St. Petersburg,105,RU,St.Petersburg,www.msk-ix.ru,59.9399138,29.5342624
TOP-IX,104,IT,Turin,www.top-ix.org,45.0735886,7.6055662
IX Australia WA,104,AU,Perth,www.ix.asn.au,-32.0376667,115.4010593
Equinix Palo Alto,103,US,Palo Alto,ix.equinix.com,37.4257657,-122.2053906
Thinx,100,PL,Warsaw,www.atman.pl,52.2330269,20.7810087
DE-CIX Dallas,99,US,Dallas,www.de-cix.net,32.8209296,-97.0117503
LL-IX,98,RO,Haarlem,www.ll-ix.com,52.3840848,4.6276524
Equinix Los Angeles,97,US,Los Angeles,ix.equinix.com,34.0207305,-118.6919296
MegaIX Auckland,96,NZ,Auckland,megaport.com,-36.8589326,174.4259295
cloudXchange,95,ID,Denpasar,cloudxchange.id,-8.6725072,115.1542322
AKL-IX,94,NZ,Auckland,www.ix.nz,-36.8589326,174.4259295
Lyonix,90,FR,Lyon,www.lyonix.net,45.7580539,4.7650807
DIX-IE,90,JP,Tokyo,nspixp.wide.ad.jp,35.6684415,139.6007808
APE,88,NZ,Auckland,ape.nzix.net,-36.8589326,174.4259295
SFO-IX,88,RU,Barnaul,www.milecom.ru,53.3344884,83.4357554
France-IX Marseille,87,FR,Marseille,www.franceix.net,43.280555,5.2404106
Crimea-IX,87,RU,Simferopol,crimea-ix.net,44.9468981,34.0391731
QIX Montreal,86,CA,Montreal,www.qix.ca,45.5581804,-74.0104927
IX Australia QLD,86,AU,Brisbane,www.ix.asn.au,-27.3798035,152.4327088
SFMIX,85,US,San Francisco,www.sfmix.org,37.757815,-122.5076406
JPIX Osaka,85,JP,Osaka,www.jpix.ad.jp,34.6778003,135.3459503
UAE-IX,83,AE,Dubai,www.uae-ix.net,25.0763815,54.9475456
PITER-IX Kiev,83,UA,§¬§Ú§Ö§Ó,piter-ix.eu,50.4021368,30.2525038
LocIX Dusseldorf,82,DE,Dusseldorf,locix.online,51.2385861,6.6742657
Digital Realty | Telx New York,81,US,New York,ix.digitalrealty.com,40.6976701,-74.2598743
Sibir-IX,81,RU,Krasnoyarsk,www.sibir-ix.ru,56.026842,92.7256503
PTT Campina Grande,81,BR,Campina Grande,ix.br,-7.242662,-35.9716055
BBIX Osaka,80,JP,Osaka,www.bbix.net,34.6778003,135.3459503
JPNAP Osaka,78,JP,Osaka,www.jpnap.net,34.6778003,135.3459503
TPIX-TW,78,TW,Taipei,www.tpix.net.tw,25.0856513,121.4214131
WIX-NZ,77,NZ,Wellington,wix.nzix.net,-41.2526171,174.6141726
YYCIX,76,CA,Calgary,yycix.ca,51.0277202,-114.3680213
BIX Budapest,76,HU,Budapest,bix.hu,47.4813602,18.9902179
KINX,76,KR,Seoul,www.kinx.net,37.5640455,126.8339996
MINAP,75,IT,Milan,www.minap.it,45.4628329,9.107692
BNIX,74,BE,Brussels,www.bnix.net,50.8550625,4.3053499
RED-IX,73,RU,Krasnoyarsk,webra.ru,56.026842,92.7256503
PTT Maring¨¢,72,BR,Maring¨¢,ptt.br,-23.4105256,-52.1106962
