a.root-servers.net, as26415, 198.41.0.4, 2001:503:ba3e::2:30, Verisign Inc
b.root-servers.net, as394353, 199.9.14.201, 2001:500:200::b, University of Southern California Information Sciences Institute
c.root-servers.net, as2149, 192.33.4.12, 2001:500:2::c, Cogent Communications
d.root-servers.net, as10886, 199.7.91.13, 2001:500:2d::d, University of Maryland
e.root-servers.net, as21556, 192.203.230.10, 2001:500:a8::e, NASA (Ames Research Center)
f.root-servers.net, as3557, 192.5.5.241, 2001:500:2f::f, Internet Systems Consortium Inc
g.root-servers.net, as5927, 192.112.36.4, 2001:500:12::d0d, US Department of Defense (NIC)
h.root-servers.net, as1508, 198.97.190.53, 2001:500:1::53, US Army (Research Lab)
i.root-servers.net, as29216, 192.36.148.17, 2001:7fe::53, Netnod
j.root-servers.net, as26415, 192.58.128.30, 2001:503:c27::2:30, Verisign Inc
k.root-servers.net, as25152, 193.0.14.129, 2001:7fd::1, RIPE NCC
l.root-servers.net, as20144, 199.7.83.42, 2001:500:9f::42, ICANN
m.root-servers.net, as7500, 202.12.27.33, 2001:dc3::35, WIDE Project
