.aaa,generic,"American Automobile Association, Inc.",156.154.158.2,AS19905
.aarp,generic,AARP,192.42.175.30,AS27544
.abarth,generic,Fiat Chrysler Automobiles N.V.,65.22.25.17,AS12041
.abb,generic,ABB Ltd,192.42.175.30,AS27544
.abbott,generic,"Abbott Laboratories, Inc.",65.22.157.41,AS12041
.abbvie,generic,AbbVie Inc.,213.248.219.41,AS43519
.abc,generic,"Disney Enterprises, Inc.",,AS27544
.able,generic,Able Inc.,156.154.159.3,AS19905
.abogado,generic,"Registry Services, LLC",213.248.217.13,AS43519
.abudhabi,generic,Abu Dhabi Systems and Information Centre,37.209.194.10,AS12008
.ac,country-code,Internet Computer Bureau Limited,65.22.162.1,AS12041
.academy,generic,"Binky Moon, LLC",37.209.192.7,AS12008
.accenture,generic,Accenture plc,192.42.175.30,AS27544
.accountant,generic,dot Accountant Limited,156.154.159.195,AS19905
.accountants,generic,"Binky Moon, LLC",37.209.192.7,AS12008
.aco,generic,ACO Severin Ahlmann GmbH & Co. KG,194.0.25.32,AS1921
.actor,generic,"Dog Beach, LLC",37.209.192.7,AS12008
.ad,country-code,Andorra Telecom,192.134.0.49,AS2486
.adac,generic,Allgemeiner Deutscher Automobil-Club e.V. (ADAC),212.18.248.74,AS201304
.ads,generic,Charleston Road Registry Inc.,216.239.32.105,AS15169
.adult,generic,ICM Registry AD LLC,37.209.192.10,AS12008
.ae,country-code,Telecommunications and Digital Government Regulatory Authority (TDRA),79.98.120.73,AS47201
.aeg,generic,Aktiebolaget Electrolux,192.42.175.30,AS27544
.aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),199.254.52.1,AS12041
.aetna,generic,Aetna Life Insurance Company,156.154.159.5,AS19905
.af,country-code,Ministry of Communications and IT,204.61.216.13,AS42
.afamilycompany,generic,"Johnson Shareholdings, Inc.",,AS27544
.afl,generic,Australian Football League,37.209.194.9,AS12008
.africa,generic,ZA Central Registry NPC trading as Registry.Africa,206.223.136.200,AS6968
.ag,country-code,UHSA School of Medicine,199.254.59.1,AS12041
.agakhan,generic,Fondation Aga Khan (Aga Khan Foundation),65.22.46.1,AS12041
.agency,generic,"Binky Moon, LLC",37.209.192.7,AS12008
.ai,country-code,Government of Anguilla,204.61.216.123,AS42
.aig,generic,"American International Group, Inc.",156.154.158.6,AS19905
.airbus,generic,Airbus S.A.S.,192.42.175.30,AS27544
.airforce,generic,"Dog Beach, LLC",37.209.192.7,AS12008
.airtel,generic,Bharti Airtel Limited,192.42.175.30,AS27544
.akdn,generic,Fondation Aga Khan (Aga Khan Foundation),65.22.45.17,AS12041
.al,country-code,Electronic and Postal Communications Authority - AKEP,194.1.149.230,AS42409
.alfaromeo,generic,Fiat Chrysler Automobiles N.V.,65.22.125.17,AS12041
.alibaba,generic,Alibaba Group Holding Limited,65.22.132.9,AS12041
.alipay,generic,Alibaba Group Holding Limited,65.22.128.25,AS12041
