US,美国,北美洲,其他,亚太,225,1660,0.1017
GB,英国,欧洲,其他,其他,295,1411,0.0864
DE,德国,欧洲,其他,其他,293,1406,0.0861
IT,意大利,欧洲,其他,其他,48,1274,0.078
CH,瑞士,欧洲,其他,其他,47,1228,0.0752
NL,荷兰,欧洲,其他,其他,222,844,0.0517
SG,新加坡,亚洲,一带一路,亚太,16,730,0.0447
SE,瑞典,欧洲,其他,其他,54,603,0.0369
FR,法国,欧洲,其他,其他,220,536,0.0328
AU,澳大利亚,大洋洲,其他,亚太,18,526,0.0322
AT,奥地利,欧洲,其他,其他,31,493,0.0302
ID,印度尼西亚,亚洲,一带一路,亚太,52,466,0.0285
UA,乌克兰,欧洲,一带一路,其他,188,465,0.0285
BR,巴西,南美洲,其他,其他,122,448,0.0274
IQ,伊拉克,亚洲,一带一路,其他,5,356,0.0218
EG,埃及,非洲,一带一路,其他,3,312,0.0191
HK,中国（香港）,亚洲,一带一路,亚太,69,247,0.0151
LT,立陶宛,欧洲,一带一路,其他,14,208,0.0127
BG,保加利亚,欧洲,一带一路,其他,43,191,0.0117
ZA,南非,非洲,其他,其他,20,186,0.0114
JP,日本,亚洲,其他,亚太,107,151,0.0093
AG,安提瓜和巴布达,北美洲,其他,其他,3,145,0.0089
NO,挪威,欧洲,其他,其他,12,136,0.0083
CZ,捷克共和国,欧洲,一带一路,其他,60,134,0.0082
PL,波兰,欧洲,一带一路,其他,46,134,0.0082
AE,阿拉伯联合酋长国,亚洲,一带一路,其他,5,130,0.008
LU,卢森堡,欧洲,其他,其他,14,125,0.0077
RO,罗马尼亚,欧洲,一带一路,其他,14,101,0.0062
PH,菲律宾,亚洲,一带一路,亚太,8,100,0.0061
IE,爱尔兰,欧洲,其他,其他,11,87,0.0053
DK,丹麦,欧洲,其他,其他,29,83,0.0051
MY,马来西亚,亚洲,一带一路,亚太,8,76,0.0047
KH,柬埔寨,亚洲,一带一路,亚太,7,69,0.0042
ES,西班牙,欧洲,其他,其他,12,66,0.004
KZ,哈萨克斯坦,亚洲,一带一路,其他,16,64,0.0039
SK,斯洛伐克共和国,欧洲,一带一路,其他,5,60,0.0037
BH,巴林,亚洲,一带一路,其他,4,55,0.0034
CN,中国（大陆）,亚洲,一带一路,亚太,19,55,0.0034
AO,安哥拉,非洲,其他,其他,2,46,0.0028
CO,哥伦比亚,南美洲,其他,其他,2,44,0.0027
FI,芬兰,欧洲,其他,其他,15,42,0.0026
TH,泰国,亚洲,一带一路,亚太,7,40,0.0025
CY,塞浦路斯,欧洲,一带一路,其他,19,39,0.0024
BE,比利时,欧洲,其他,其他,13,36,0.0022
IL,以色列,亚洲,一带一路,其他,8,31,0.0019
BF,布基纳法索,非洲,其他,其他,1,30,0.0018
LV,拉脱维亚,欧洲,一带一路,其他,10,29,0.0018
GR,希腊,欧洲,一带一路,其他,4,27,0.0017
KR,韩国,亚洲,其他,亚太,7,26,0.0016
EU,“欧盟”,欧洲,其他,其他,12,24,0.0015
MD,摩尔多瓦共和国,欧洲,一带一路,其他,7,24,0.0015
VN,越南,亚洲,一带一路,亚太,5,24,0.0015
EE,爱沙尼亚,欧洲,一带一路,其他,15,24,0.0015
AM,亚美尼亚,亚洲,一带一路,其他,6,23,0.0014
MU,毛里求斯,非洲,其他,其他,4,22,0.0013
TW,中国（台湾）,亚洲,其他,亚太,11,21,0.0013
IS,冰岛,欧洲,其他,其他,5,20,0.0012
SC,塞舌尔群岛,非洲,其他,其他,10,20,0.0012
BY,白俄罗斯,欧洲,一带一路,其他,6,19,0.0012
TR,土耳其,亚洲,一带一路,其他,10,18,0.0011
CA,加拿大,北美洲,其他,亚太,10,17,0.001
RS,塞尔维亚,欧洲,一带一路,其他,4,16,0.001
PT,葡萄牙,欧洲,其他,其他,4,16,0.001
SA,沙特阿拉伯,亚洲,一带一路,其他,4,15,0.0009
,,亚洲,其他,其他,7,14,0.0009
VG,英属维京群岛,北美洲,其他,其他,5,14,0.0009
HU,匈牙利,欧洲,一带一路,其他,6,13,0.0008
AZ,阿塞拜疆,亚洲,一带一路,其他,2,13,0.0008
OM,阿曼,亚洲,一带一路,其他,2,11,0.0007
PK,巴基斯坦,亚洲,一带一路,其他,2,11,0.0007
KG,吉尔吉斯斯坦,亚洲,一带一路,其他,6,11,0.0007
IN,印度,亚洲,一带一路,其他,4,10,0.0006
GE,格鲁吉亚,亚洲,一带一路,其他,5,10,0.0006
LK,斯里兰卡,亚洲,一带一路,其他,2,9,0.0006
SI,斯洛文尼亚,欧洲,一带一路,其他,3,8,0.0005
PS,巴勒斯坦,亚洲,一带一路,其他,3,8,0.0005
BD,孟加拉,亚洲,一带一路,其他,3,7,0.0004
UZ,乌兹别克斯坦,亚洲,一带一路,其他,3,7,0.0004
NA,纳米比亚,非洲,其他,其他,3,6,0.0004
GH,加纳,非洲,其他,其他,3,6,0.0004
TJ,塔吉克斯坦,亚洲,一带一路,其他,3,6,0.0004
AF,阿富汗,亚洲,一带一路,其他,2,6,0.0004
MN,蒙古,亚洲,一带一路,亚太,3,6,0.0004
IR,伊朗伊斯兰共和国,亚洲,一带一路,其他,5,6,0.0004
GI,直布罗陀,欧洲,其他,其他,2,5,0.0003
BZ,伯利兹,北美洲,其他,其他,5,5,0.0003
UY,乌拉圭,南美洲,其他,其他,2,5,0.0003
MV,马尔代夫,亚洲,一带一路,其他,2,4,0.0002
QA,卡塔尔,亚洲,一带一路,其他,1,4,0.0002
MK,前南斯拉夫马其顿共和国,欧洲,一带一路,其他,1,4,0.0002
IM,曼岛,欧洲,其他,其他,2,3,0.0002
SZ,斯威士兰,非洲,其他,其他,1,3,0.0002
MW,马拉维,非洲,其他,其他,1,3,0.0002
MG,马达加斯加,非洲,其他,其他,2,3,0.0002
NG,尼日利亚,非洲,其他,其他,1,3,0.0002
MM,缅甸,亚洲,一带一路,其他,1,3,0.0002
VC,圣文森特和格林纳丁斯,北美洲,其他,其他,1,3,0.0002
JE,泽西岛,欧洲,其他,其他,1,2,0.0001
BT,不丹,亚洲,一带一路,其他,1,2,0.0001
TG,多哥,非洲,其他,其他,1,2,0.0001
DJ,吉布提,非洲,其他,其他,1,2,0.0001
BW,博茨瓦纳,非洲,其他,其他,1,2,0.0001
HR,克罗地亚,欧洲,一带一路,其他,1,2,0.0001
MT,马耳他,欧洲,其他,其他,1,2,0.0001
GU,关岛,大洋洲,其他,其他,2,2,0.0001
NZ,新西兰,大洋洲,其他,亚太,2,2,0.0001
TM,土库曼斯坦,亚洲,一带一路,其他,2,2,0.0001
BN,文莱,亚洲,一带一路,亚太,2,2,0.0001
RE,留尼汪,非洲,其他,其他,2,2,0.0001
LY,阿拉伯利比亚民众国,非洲,其他,其他,1,2,0.0001
PY,巴拉圭,南美洲,其他,其他,1,2,0.0001
UG,乌干达,非洲,其他,其他,1,1,0.0001
JO,约旦,亚洲,一带一路,其他,1,1,0.0001
PE,秘鲁,南美洲,其他,亚太,1,1,0.0001
MC,摩纳哥,欧洲,其他,其他,1,1,0.0001
MO,中国（澳门）,亚洲,一带一路,亚太,1,1,0.0001
BM,百慕大,北美洲,其他,其他,1,1,0.0001
KP,朝鲜民主共和国,亚洲,其他,亚太,1,1,0.0001
GP,瓜德罗普岛,北美洲,其他,其他,1,1,0.0001
ML,马里,非洲,其他,其他,1,1,0.0001
GN,几内亚,非洲,其他,其他,1,1,0.0001
CL,智利,南美洲,其他,亚太,1,1,0.0001
