lng,lat
-0.198465,51.505538
-0.178838,51.491836
-0.205590,51.514910
-0.208327,51.514952
-0.206022,51.496572
-0.193610,51.500788
-0.173519,51.495171
-0.163542,51.492497
-0.211980,51.513659
-0.199786,51.515900
-0.216407,51.518402
-0.184495,51.501726
-0.172522,51.491289
-0.195797,51.492818
-0.166886,51.488143
-0.166882,51.488233
-0.214099,51.514770
-0.183889,51.484361
-0.207725,51.519259
-0.172964,51.491026
-0.163102,51.499864
-0.192941,51.488548
-0.193675,51.488199
-0.215564,51.517850
-0.185515,51.483307
-0.163793,51.496997
-0.158276,51.494483
-0.194671,51.506739
-0.167365,51.483385
-0.167321,51.488060
-0.172881,51.482302
-0.197319,51.509028
-0.160434,51.501711
