source,target,value
AS306-DoDNetworkInformationCenter-US,AS307-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS316-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS317-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS319-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS320-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS321-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS322-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS323-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS324-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS325-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS326-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS327-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS328-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS329-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS331-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS334-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS335-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS336-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS337-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS338-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS339-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS340-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS341-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS342-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS343-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS344-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS345-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS346-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS347-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS348-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS349-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS350-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS351-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS352-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS353-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS355-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS356-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS357-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS358-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS359-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS360-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS361-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS362-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS364-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS365-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS366-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS368-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS369-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS370-DoDNetworkInformationCenter-US,-1
AS306-DoDNetworkInformationCenter-US,AS371-DoDNetworkInformationCenter-US,-1
AS309-DoDNetworkInformationCenter-US,AS3544-DoDNetworkInformationCenter-US,0
AS310-DoDNetworkInformationCenter-US,AS6045-DoDNetworkInformationCenter-US,0
AS311-DoDNetworkInformationCenter-US,AS6045-DoDNetworkInformationCenter-US,0
AS312-DoDNetworkInformationCenter-US,AS3541-DoDNetworkInformationCenter-US,0
AS313-DoDNetworkInformationCenter-US,AS6045-DoDNetworkInformationCenter-US,0
AS329-DoDNetworkInformationCenter-US,AS1733-DoDNetworkInformationCenter-US,0
AS345-DoDNetworkInformationCenter-US,AS5974-DoDNetworkInformationCenter-US,0
AS367-DoDNetworkInformationCenter-US,AS634-DoDNetworkInformationCenter-US,0
AS367-DoDNetworkInformationCenter-US,AS637-DoDNetworkInformationCenter-US,0
AS367-DoDNetworkInformationCenter-US,AS1554-DoDNetworkInformationCenter-US,0
AS367-DoDNetworkInformationCenter-US,AS1733-DoDNetworkInformationCenter-US,0
AS637-DoDNetworkInformationCenter-US,AS1733-DoDNetworkInformationCenter-US,0
AS668-DoDNetworkInformationCenter-US,AS121-DoDNetworkInformationCenter-US,-1
AS668-DoDNetworkInformationCenter-US,AS228-DoDNetworkInformationCenter-US,-1
AS668-DoDNetworkInformationCenter-US,AS518-DoDNetworkInformationCenter-US,-1
AS668-DoDNetworkInformationCenter-US,AS687-DoDNetworkInformationCenter-US,-1
AS668-DoDNetworkInformationCenter-US,AS2621-DoDNetworkInformationCenter-US,-1
AS668-DoDNetworkInformationCenter-US,AS5132-DoDNetworkInformationCenter-US,-1
AS668-DoDNetworkInformationCenter-US,AS5957-DoDNetworkInformationCenter-US,-1
AS668-DoDNetworkInformationCenter-US,AS5978-DoDNetworkInformationCenter-US,-1
AS668-DoDNetworkInformationCenter-US,AS6009-DoDNetworkInformationCenter-US,-1
AS668-DoDNetworkInformationCenter-US,AS6022-DoDNetworkInformationCenter-US,-1
AS721-DoDNetworkInformationCenter-US,AS724-DoDNetworkInformationCenter-US,-1
AS721-DoDNetworkInformationCenter-US,AS27064-DoDNetworkInformationCenter-US,-1
AS721-DoDNetworkInformationCenter-US,AS27065-DoDNetworkInformationCenter-US,-1
AS721-DoDNetworkInformationCenter-US,AS27066-DoDNetworkInformationCenter-US,-1
AS724-DoDNetworkInformationCenter-US,AS27064-DoDNetworkInformationCenter-US,-1
AS1554-DoDNetworkInformationCenter-US,AS149-DoDNetworkInformationCenter-US,-1
AS1554-DoDNetworkInformationCenter-US,AS1551-DoDNetworkInformationCenter-US,-1
