source,target,value
AS173-ElectricalCommunicationsLaboratories-JP,AS2511-NTT-JP,-1
AS173-ElectricalCommunicationsLaboratories-JP,AS38639-NTTCommunicationsCorporation-JP,0
AS1237-KISTI-KR,AS1704-KoreaAdvancedInstituteofScienceandTechnology-KR,-1
AS1237-KISTI-KR,AS1781-KoreaAdvancedInstituteofScienceandTechnology-KR,-1
AS1237-KISTI-KR,AS2385-JUNGBU-KR,-1
AS1237-KISTI-KR,AS3784-PohangUniversityofScienceandTechnology-KR,0
AS1237-KISTI-KR,AS7560-JeonbukNationalUniversity-KR,-1
AS1237-KISTI-KR,AS7564-KoreaAtomicEnergyResearchInstitute-KR,0
AS1237-KISTI-KR,AS9274-PusanNationalUniversity-KR,0
AS1237-KISTI-KR,AS9275-KoreaAstronomyObservatory-KR,-1
AS1237-KISTI-KR,AS9317-INHAUNIVERSITY-KR,-1
AS1237-KISTI-KR,AS9488-SeoulNationalUniversity-KR,0
AS1237-KISTI-KR,AS9489-KoreaAerospaceResearchInstitute-KR,-1
AS1237-KISTI-KR,AS9686-SungKyunKwanUniversitySKKU-KR,0
AS1237-KISTI-KR,AS9949-HoseoUniversity-KR,0
AS1237-KISTI-KR,AS10052-KyungpookNationalUniversity-KR,-1
AS1237-KISTI-KR,AS10063-KoreaMeteorologicalAdministration-KR,-1
AS1237-KISTI-KR,AS10070-KRISSSubDAEJONnetworksconnectedtobackbone-KR,-1
AS1237-KISTI-KR,AS10162-SNUH-KR,-1
AS1237-KISTI-KR,AS17579-KISTI-KR,-1
AS1237-KISTI-KR,AS17595-KoreaInstituteofNuclearSafety-KR,-1
AS1237-KISTI-KR,AS17856-KonyangUniversity-KR,-1
AS1237-KISTI-KR,AS17866-KoreaInstituteofScienceandTechnology-KR,-1
AS1237-KISTI-KR,AS18026-JEJUNATIONALUNIVERSITY-KR,0
AS1237-KISTI-KR,AS18034-KangnungNationalUniversity-KR,-1
AS1237-KISTI-KR,AS18297-KJIST-KR,-1
AS1237-KISTI-KR,AS18298-ChungnamNationalUniversity-KR,0
