6939|9726|7657|2065|4|HURRICANE|Hurricane Electric LLC|ARIN|DC|38.8991|-77.029|282.971|1.0
174|6633|91|6542|0|COGENT-174|Cogent Communications|ARIN|DC|38.89511|-77.03637|282.96362999999997|1.3826975833624426
3356|6423|70|6353|0|LEVEL3|Level 3 Parent, LLC|ARIN|DC|38.89511|-77.03637|282.96362999999997|1.4148645472428427
14840|4600|4330|264|6|AS14840||LACNIC|BR|-25.427|-49.9988|310.0012|1.7486318527139717
24482|4538|4497|36|5|SGGS-AS-AP|SG.GS|APNIC|SG|1.283|103.85|103.85|1.7621988004129747
51185|4517|4512|0|5|ONECOM-AS|Onecom Global Communications LTD|RIPE|UK|51.50949|-0.59541|359.40459|1.7668361058414916
35280|4314|4252|58|4|ACORUS|ACORUS NETWORKS SAS|RIPE|FR|48.86|2.34111|2.34111|1.812808199351912
1828|4197|4126|58|13|UNITAS|Unitas Global LLC|ARIN|DC|38.8991|-77.029|282.971|1.840297302488862
61568|4001|3847|148|6|AS61568||LACNIC|BR|-23.435|-46.5143|313.4857|1.8881112877257618
58511|3330|3277|49|4|ANYCAST-GLOBAL-BACKBONE|ANYCAST HOLDINGS PTY LTD|APNIC|AU|-33.7956|151.185|151.185|2.0716329646757607
199524|3219|3147|29|43|GCORE|G-Core Labs S.A.|RIPE|LU|49.6265983581543|6.21152019500732|6.21152019500732|2.105524164330986
37497|3190|3160|25|5|Network-Platforms|Network Platforms (PTY) LTD|AFRINIC|ZA|-26.205|28.0497|28.0497|2.1145711765911965
39120|3034|3019|12|3|CONVERGENZE-AS|Convergenze S.p.A.|RIPE|IT|45.0643|7.68795|7.68795|2.1646940993758417
41327|2624|2501|119|4|FIBERTELECOM-AS|Fiber Telecom S.p.A.|RIPE|IT|45.4451|8.61867|8.61867|2.3098246278437164
25091|2583|2517|60|6|IP-MAX|IP-Max SA|RIPE|CH|46.77852|6.64115|6.64115|2.325566937966948
34224|2474|2356|110|8|NETERRA-AS|Neterra Ltd.|RIPE|BG|42.8742|25.3189|25.3189|2.3686651278666497
13237|2464|2252|208|4|LAMBDANET-AS|euNetworks GmbH|RIPE|DE|48.5665|13.3627|13.3627|2.3727137163926497
7018|2458|39|2419|0|ATT-INTERNET4|AT&T Services, Inc.|ARIN|DC|38.89511|-77.03637|282.96362999999997|2.3751507606532476
7713|2446|2077|361|8|telkomnet-as-ap|Telekomunikasi Indonesia (PT)|APNIC|ID|-6.21462|106.84513|106.84513|2.3800427394267683
137409|2435|2366|62|7|GSLNETWORKS-AS-AP|GSL Networks Pty LTD|APNIC|AU|-33.9448|151.197|151.197|2.3845481740396526
