 ,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,山东,河南,上海,江苏,浙江,安徽,福建,江西,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
北京,0.0121,2.4682999999999997,3.4020333333333332,4.252266666666666,5.6132,8.055966666666666,8.870066666666666,8.284333333333334,5.3394,6.186633333333333,9.643366666666667,9.035966666666667,10.041566666666666,9.704933333333333,12.845666666666666,12.2724,7.250533333333333,11.7826,12.2986,16.197599999999998,15.891066666666667,17.024866666666664,14.509099999999998,21.495366666666666,21.298233333333332,26.078633333333332,7.699933333333333,10.633466666666667,10.505766666666666,9.498733333333334,19.9584
天津,2.462266666666667,1.1309333333333333,3.9396,9.8737,4.9977,7.739999999999999,8.319566666666667,7.540266666666667,4.4752,8.262266666666667,8.043033333333334,11.8264,10.903599999999999,8.785066666666667,14.0224,12.918833333333334,8.140433333333332,11.551566666666666,13.0435,16.724933333333333,20.609733333333335,15.231166666666667,12.848133333333335,18.898333333333333,19.831466666666667,25.23046666666667,8.3023,16.5817,12.529066666666667,10.807333333333332,21.4667
河北,4.1509,3.9393666666666665,0.0123,8.901866666666667,6.462133333333333,7.747933333333333,11.546966666666668,10.251433333333333,6.0982666666666665,8.261033333333334,13.507133333333334,7.912333333333333,10.340300000000001,11.463266666666668,16.1897,12.556533333333334,6.9471,14.298333333333334,12.655733333333332,13.802266666666666,15.083166666666665,12.9535,13.7494,18.109133333333332,21.474666666666668,25.3509,10.945733333333335,11.190533333333333,14.662799999999999,15.434433333333333,19.972166666666666
山西,4.254166666666666,9.8721,8.895766666666667,0.006566666666666666,9.501766666666667,13.885433333333333,17.325866666666666,14.109633333333333,12.965000000000002,6.862733333333334,10.669666666666666,11.674766666666665,9.948933333333335,11.091966666666666,16.107533333333333,15.736199999999998,8.9541,10.861333333333334,16.659033333333333,15.734833333333334,17.877333333333333,21.222833333333334,11.314233333333334,15.794400000000001,15.423333333333334,23.4519,5.8636333333333335,7.347833333333334,13.8459,9.691633333333334,18.22746666666667
内蒙古,5.618099999999999,4.999066666666667,6.465866666666667,9.492433333333333,0.013200000000000002,10.1534,14.361199999999998,12.3105,7.425066666666667,14.106633333333333,12.634633333333333,12.199933333333334,14.775266666666667,18.6605,18.675033333333335,16.950666666666667,11.618,12.433,16.641966666666665,18.5239,19.602333333333334,19.459,17.3922,25.371399999999998,22.833066666666667,27.892,11.685033333333335,14.178033333333333,13.9796,18.250633333333333,22.534066666666664
辽宁,8.056766666666666,8.016499999999999,7.754033333333333,13.885033333333332,10.151866666666667,0.008166666666666668,16.89056666666667,16.2129,12.559399999999998,11.191466666666665,14.476966666666668,13.768833333333333,16.1299,13.945,21.071433333333335,24.0812,15.103533333333333,21.6465,17.9965,20.619766666666667,22.37693333333333,24.4883,24.142166666666668,23.5047,24.6266,27.0471,20.684766666666665,14.268533333333332,15.387766666666666,14.9367,21.552333333333333
吉林,8.8242,8.2999,11.521733333333332,17.324933333333334,12.641033333333333,16.961933333333334,0.011666666666666667,14.769633333333333,11.867533333333334,13.759366666666667,16.598633333333336,17.218,18.1069,17.389866666666666,20.638233333333336,20.840733333333333,14.159433333333332,17.305366666666668,18.985633333333332,24.0907,23.078999999999997,22.7363,20.248566666666665,26.5605,24.580466666666666,31.407466666666664,15.7631,16.059766666666665,17.7053,18.755633333333332,24.222133333333332
黑龙江,12.42765,10.7891,15.36805,21.1704,17.58335,24.1573,22.15025,0.01465,15.34955,20.72045,24.9901,21.7279,28.0774,25.76655,32.84945,26.87485,20.63055,23.7982,27.38275,33.70965,31.9792,28.4514,30.6228,37.25295,36.7672,48.8427,21.92205,26.14485,26.65235,25.13125,42.1262
山东,5.3577,4.475766666666667,6.0965,12.968833333333334,7.4227,12.225766666666667,13.098366666666665,10.370466666666667,0.0165,10.595666666666666,8.424166666666666,10.0524,7.2032,9.960966666666666,15.643133333333333,10.758833333333333,10.107066666666666,13.431033333333334,15.067466666666666,21.784766666666666,15.896566666666667,15.4634,18.537,23.06373333333333,20.738400000000002,29.05966666666667,10.088533333333332,18.9383,14.629100000000001,13.7881,24.764266666666668
河南,6.1883333333333335,6.319933333333334,8.259500000000001,6.866366666666667,14.097999999999999,11.193933333333334,13.762566666666666,13.820233333333334,10.5861,0.0163,11.702666666666666,11.754100000000001,8.6214,14.320266666666667,17.950166666666664,8.746766666666668,4.4972666666666665,6.013466666666667,9.578566666666667,19.301933333333334,16.449933333333334,12.199666666666666,11.045966666666667,15.234266666666668,14.489733333333334,22.195899999999998,8.794233333333333,12.043766666666668,14.6614,11.777700000000001,23.7606
上海,9.906333333333334,7.7226333333333335,13.416533333333334,10.683166666666667,12.551133333333333,14.379800000000001,17.11413333333333,16.6315,9.659366666666667,11.7067,0.008766666666666667,4.371433333333333,2.6862333333333335,4.885233333333333,10.106866666666667,5.385266666666666,6.6255,8.603066666666667,10.128566666666666,14.4069,15.724733333333333,17.8172,11.858433333333332,17.693266666666666,17.137633333333333,25.918166666666664,9.317633333333333,15.050699999999999,17.840833333333332,14.436466666666666,24.120866666666668
江苏,9.033666666666667,11.640666666666666,7.9106,11.384566666666666,12.194233333333335,13.767133333333334,17.209433333333333,14.823133333333333,8.8957,11.755933333333333,3.7220333333333335,0.0092,3.0185,2.8008,9.607899999999999,4.528833333333333,8.439300000000001,6.536133333333333,11.323,13.391300000000001,16.852166666666665,14.381266666666667,9.983833333333333,17.240133333333333,17.288733333333333,23.3673,10.1517,14.847499999999998,16.895433333333333,13.2194,30.410366666666665
浙江,9.806733333333334,9.9105,10.348466666666667,9.960133333333333,14.791666666666666,16.132633333333334,18.193566666666666,18.720200000000002,7.2124999999999995,8.621166666666666,2.640566666666667,3.0257,0.0119,4.6706666666666665,8.7944,6.5314000000000005,8.200866666666666,7.276933333333333,9.5518,12.526066666666667,14.206866666666668,16.07036666666667,12.951066666666668,17.3343,15.363199999999999,29.5999,12.296633333333332,14.803333333333333,18.899966666666668,14.591299999999999,34.5036
安徽,9.506266666666667,8.789033333333334,11.464766666666668,11.0944,18.471700000000002,13.904733333333333,17.3672,18.85213333333333,8.4125,14.247399999999999,4.891666666666667,2.7988666666666666,4.671833333333333,0.0114,13.714333333333334,6.6531666666666665,3.841366666666667,8.760033333333334,12.018433333333334,17.575466666666667,12.020933333333334,12.048533333333333,12.032166666666667,22.305233333333334,19.602433333333334,29.229366666666667,9.079366666666667,12.866999999999999,23.742766666666668,15.986333333333334,31.8021
