 ,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,山东,河南,上海,江苏,浙江,安徽,福建,江西,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
北京,0.0222,3.2705,5.4233,9.4218,10.2439,12.3408,17.4085,19.8523,9.5533,11.1017,23.8024,17.3934,25.3176,20.2801,31.498,29.5143,18.7291,28.3437,34.8765,38.9945,42.964,30.4112,35.1136,45.6722,47.5017,52.4578,17.8103,25.8498,25.5555,17.5964,44.8003
天津,3.0857,0.0193,8.8082,18.3345,10.2747,9.2636,18.2098,20.5024,6.4903,13.9294,19.2159,13.9414,23.2148,19.1209,36.3304,27.4234,18.0152,24.1362,34.7031,41.8353,41.6685,33.7446,32.455,37.4958,47.9451,55.0326,17.9564,25.8272,29.8953,27.3384,61.2051
河北,5.4287,9.2766,0.017,4.248,13.1278,15.9504,20.06,21.7755,9.3246,17.3629,24.6843,16.2502,24.2138,28.1359,37.4278,26.9013,13.2591,25.6459,30.8783,38.5881,37.6636,28.5029,21.201,31.944,48.4678,55.963,25.2576,20.3508,21.2279,20.4873,49.4206
山西,10.1047,17.6568,4.2528,0.0159,12.489,27.5977,23.8073,34.4541,16.9144,9.9645,24.793,20.1079,25.1191,23.773,35.3547,26.3112,17.6075,26.3778,37.614,42.9504,46.7785,26.1059,17.9009,32.9323,38.7703,49.8712,11.1941,15.2811,18.4776,8.8385,47.6528
内蒙古,11.2971,10.2905,13.1227,11.3309,0.0202,20.279,23.2863,25.4343,15.642,15.9714,28.2351,24.3333,33.2393,29.8614,40.8728,31.3978,26.8574,32.9223,40.491,52.2227,47.1933,38.8405,33.2108,42.5636,35.856,64.8917,16.1426,21.5616,26.8346,15.0316,51.3167
辽宁,13.4609,9.2594,15.4687,27.5917,20.2669,0.0171,11.9578,13.1336,21.8879,21.5822,33.9065,29.1327,33.5795,37.4498,54.2726,43.7198,28.1186,50.7415,45.188,53.6034,59.3416,43.5557,40.7528,59.5999,60.4265,61.4909,27.4327,35.8001,39.1953,35.4518,56.3774
吉林,17.3983,18.9558,20.0659,23.9282,23.4943,11.9556,0.0225,7.8958,32.4578,27.261,33.1018,37.0383,37.6964,34.9931,45.7984,52.9712,37.3453,46.9299,48.4968,56.6034,54.7529,51.4082,49.2628,59.8096,61.3098,73.3388,32.766,41.1738,46.8013,31.8997,59.6781
黑龙江,22.1311,20.6494,26.7152,34.4443,30.0917,18.0059,7.8719,0.0206,29.6374,39.1549,42.1147,42.289,47.9631,51.2741,58.761,46.0569,36.9552,47.4468,52.9049,64.6569,63.8351,54.2386,56.7358,68.5578,71.7697,72.0889,42.4169,46.5893,52.7568,41.9971,72.385
山东,8.847,4.8614,9.3208,16.9135,15.6363,21.8882,32.4367,29.8485,0.0223,19.2645,15.4654,9.241,16.6223,21.7081,29.4054,26.5169,13.8791,24.8089,29.994,37.3732,37.5007,29.1517,34.707,37.6486,51.857,66.5533,17.7342,28.5862,29.3032,28.0338,53.5409
河南,11.0879,13.1783,17.3547,9.9684,15.9805,21.5745,27.2457,32.2248,19.2654,0.0292,24.6074,19.7129,21.9893,21.6703,33.2142,18.4713,7.8104,13.159,21.5708,30.7089,30.1644,23.6796,16.6144,31.4596,39.4544,62.4639,7.9254,20.265,22.9968,22.3744,47.1553
上海,23.8189,19.1856,24.6933,24.8311,28.2351,34.2259,33.0984,42.1965,15.3605,24.6228,0.017,5.8292,4.2554,7.6412,16.7916,11.5506,17.5122,17.8347,25.8612,41.1058,36.2686,32.3399,34.2264,36.957,37.6901,65.3526,23.2384,35.5739,37.2334,35.9178,65.6098
江苏,17.4101,13.953,16.2557,20.0877,24.523,29.116,37.0469,42.2552,9.2347,19.7361,5.8607,0.0255,7.8287,7.416,15.9451,7.278,8.9264,17.4063,26.4965,33.8152,33.3398,21.5448,28.1047,31.3059,40.6033,61.3227,21.9615,31.9917,35.0015,32.2364,67.872
浙江,25.324,23.8708,24.2058,25.1051,33.76,33.5794,38.1074,42.6544,16.6032,21.9911,4.2321,7.8303,0.0183,10.4398,20.6656,9.1224,14.5314,15.4365,25.4117,26.8374,30.8378,30.814,37.836,40.8278,39.6432,75.0556,31.5006,40.2707,46.8348,37.8126,64.8898
安徽,20.2858,19.1289,27.5355,22.9734,29.8627,37.4381,34.9869,51.2008,21.1323,21.6514,7.6706,6.7981,10.2233,0.0224,27.3522,15.4979,8.0165,20.3282,24.2995,35.3799,32.914,22.9265,32.3184,31.0614,46.2636,75.3565,18.8181,35.2226,26.5948,31.2911,64.0507
福建,31.5134,36.332,37.4181,35.3559,40.861,54.3479,45.8083,58.7549,30.263,33.2585,16.7983,15.9478,20.6469,27.3531,0.024,17.9031,20.1755,14.1611,18.0635,26.4051,25.1213,37.2853,37.5269,42.7782,45.3398,78.8859,33.8384,49.5763,51.1677,53.3931,77.4324
江西,29.3638,27.4348,26.899,26.3025,30.0049,43.7147,53.0471,46.0699,26.5088,18.4668,11.5555,7.2796,9.8593,15.4714,17.8684,0.0185,11.6395,8.0265,14.5198,25.8155,21.6248,21.2102,26.2041,25.6841,40.7757,64.2078,23.1735,34.7519,43.0975,39.2914,67.7886
湖北,18.7321,18.2073,13.2593,17.6051,26.6146,28.1181,37.3605,36.9571,13.8816,7.8111,17.6646,8.9416,14.5196,8.6591,20.5435,11.6311,0.0184,6.1529,14.8364,24.8686,23.709,14.708,19.4341,20.4126,36.1545,59.0142,12.8182,20.3806,27.2673,27.7973,49.0126
湖南,28.3494,24.1859,25.6336,26.3694,32.911,50.749,46.9287,47.4699,24.8075,13.1814,17.8277,17.4207,15.4377,20.3331,14.1845,8.7716,6.1466,0.0216,12.5372,19.6562,20.1731,20.6087,25.7256,21.6813,33.7328,63.107,22.9116,38.8226,41.5524,38.3071,59.8389
广东,33.964,34.4744,30.8616,36.7627,40.6004,45.1712,48.3098,52.9245,30.1955,21.5777,25.8775,26.4823,25.4045,24.298,18.0818,14.9521,14.8172,12.5277,0.0216,8.7108,11.7625,20.3747,27.9916,16.4723,26.4441,66.1408,28.1578,41.6815,45.3273,43.9229,63.7
广西,38.7785,41.8159,38.59,42.9512,52.2255,53.6039,57.6828,64.644,37.2806,30.8359,40.6673,34.2338,26.773,35.3231,26.503,25.8156,24.8466,19.6641,8.6911,0.0256,17.6179,16.668,17.4143,16.4239,17.1916,61.7278,33.872,40.8899,52.7568,46.579,78.9049
海南,42.9526,41.7865,37.663,46.7535,47.2477,59.3655,54.7472,63.8524,37.499,30.1739,36.4272,33.3292,30.8063,32.9955,25.0958,21.6333,23.7084,20.1893,11.6487,17.5831,0.0151,31.6034,41.5539,25.5153,36.8973,73.3721,36.7725,46.5812,53.0338,55.6675,82.1348
重庆,30.4151,34.0534,28.4976,26.1097,38.8346,43.0861,51.3997,54.064,29.1508,23.6725,32.3817,21.5474,30.8167,23.029,37.7615,21.2104,14.7063,20.5889,20.3798,14.0047,31.6155,0.023,6.3239,8.1641,11.3766,39.3219,15.4113,24.9897,37.8653,31.7666,58.2242
四川,35.127,32.4434,21.1892,17.8919,33.2054,40.7412,49.1539,54.2932,34.6914,16.6016,34.2381,28.1245,37.8571,32.302,37.5333,26.2107,19.7155,25.703,28.0103,17.3885,41.6129,6.3324,0.0196,10.3954,16.0717,33.0166,11.8556,21.1483,36.3635,20.88,57.8171
