 ,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,山东,河南,上海,江苏,浙江,安徽,福建,江西,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
北京,0.0363,4.0854,10.2061,11.5676,16.8396,24.1679,26.6102,23.5737,9.5533,18.5599,28.9301,22.3737,30.1247,24.3341,38.537,36.8172,19.8997,35.3478,34.8765,48.5928,45.6259,44.4268,43.5273,64.4861,63.8947,52.4578,23.0998,26.0292,31.5173,28.4962,44.8003
天津,4.0949,0.0193,11.8188,29.6211,10.2747,18.5156,24.9587,21.5868,6.4903,18.9721,23.3215,35.4792,32.7108,26.3552,37.6927,38.7565,20.1896,24.3078,35.5356,41.8353,46.1161,34.1298,32.455,56.695,52.5302,55.7869,21.1119,49.7451,29.8953,27.3384,64.4001
河北,12.4527,11.8181,0.0369,26.7056,19.3864,23.2438,34.6409,30.7543,9.8272,24.7831,40.5214,23.737,31.0209,34.3898,48.5691,33.573,20.8413,42.895,33.2586,41.4068,44.0527,33.5148,41.2482,54.3274,64.424,55.963,32.8372,33.5716,43.9884,46.3033,59.9165
山西,11.5737,29.6163,26.6873,0.0179,28.5053,41.6563,51.9776,42.3289,38.895,20.5882,24.793,35.0243,27.7961,33.2759,43.9534,47.2086,26.8623,29.9308,49.9771,45.6656,53.632,26.1059,23.5776,35.676,39.1335,49.8712,12.7205,22.0435,29.8302,25.5957,54.6824
内蒙古,16.8543,10.2905,19.3976,28.4773,0.0396,20.279,43.0836,36.9315,15.642,42.3199,32.646,27.6562,44.3258,32.2374,40.8728,32.3856,34.854,37.299,49.9259,55.5717,58.807,58.377,52.1766,76.1142,68.4992,66.5609,35.0551,42.5341,41.9388,54.7519,67.6022
辽宁,24.1703,18.5147,23.2621,41.6551,20.2669,0.0173,50.6717,48.6387,33.1741,33.5744,43.4309,41.3065,48.3897,40.1087,54.2726,72.2436,45.3106,50.7415,46.3026,61.8593,67.1308,55.3129,54.7938,70.5141,71.5304,61.4909,44.8382,42.8056,46.1633,44.8101,56.3774
吉林,26.4726,24.8997,34.5652,51.9748,37.9231,50.8858,0.035,44.3089,35.4096,36.4331,49.7959,50.8783,54.3207,52.1696,59.4397,62.5222,42.4783,51.0605,56.9569,68.3435,67.865,59.2706,60.7457,79.6815,73.7414,73.4526,46.6879,48.1793,53.1159,56.2669,72.6664
黑龙江,22.1311,21.5782,30.7361,42.3408,35.1667,48.3146,44.3005,0.0206,29.6374,39.1549,49.9802,43.4558,56.1548,51.5331,58.761,46.0569,41.2611,47.4468,52.9049,64.6569,63.9584,56.9028,56.7358,74.5059,71.7697,72.0889,43.8441,46.5893,53.3047,50.2625,72.385
山东,8.847,6.491,9.8318,38.9065,15.6363,32.5078,39.2951,31.1114,0.0223,31.787,25.2725,30.1572,21.6096,29.8829,29.4054,26.5169,30.3212,40.2931,29.994,65.3543,47.6897,46.3902,55.611,69.1912,62.2152,79.9854,30.2656,56.8149,43.8873,41.3643,74.2928
河南,18.565,18.9598,24.7785,20.5991,42.294,33.5818,36.306,39.1396,31.7583,0.0489,35.108,35.2623,25.3712,21.6703,53.8505,18.4713,7.8104,13.159,21.5708,31.1627,30.1644,36.599,33.1379,45.7028,43.4692,62.4639,26.3827,36.1313,43.9842,35.2809,71.2818
上海,29.719,23.1679,40.2496,24.8311,34.4129,43.1394,51.3424,49.8945,28.9781,35.1201,0.0228,13.1143,5.7437,7.6412,16.7916,11.5506,19.6427,25.8092,25.8612,43.2207,37.0594,34.372,34.2264,40.0723,51.4129,67.9035,23.2384,45.1521,37.2334,41.089,71.3254
江苏,22.3713,34.922,23.7318,34.1537,27.5932,41.3014,50.8658,43.4624,26.6871,35.2678,11.1661,0.0255,7.8287,8.3814,15.9451,7.278,9.4372,17.4063,26.4965,34.2474,33.3398,21.5448,29.9515,51.7204,40.6033,70.1019,22.6514,44.5425,35.0015,39.6582,67.872
浙江,29.4202,29.7315,31.0454,27.8025,44.375,48.3979,54.5807,56.1606,21.6375,25.3715,5.7651,7.8303,0.0183,11.537,21.306,11.7745,14.5314,21.8308,28.6554,26.8374,42.6206,48.2111,38.5722,52.0029,43.8387,88.7997,36.8899,42.1417,46.8348,43.7739,73.4313
安徽,24.3537,26.3671,34.3943,33.2832,32.2346,40.1209,52.1016,51.3361,25.2375,21.6514,7.6706,7.8621,11.5289,0.0238,27.3522,15.4979,8.6867,20.3282,27.483,35.3799,36.0628,36.1456,32.3184,40.9603,46.9873,75.3565,18.8181,35.2226,26.5948,31.2911,64.0507
福建,39.0135,37.6748,48.6028,44.1155,40.861,54.3479,59.2839,58.7549,30.263,53.8469,16.7983,15.9478,21.2369,27.3531,0.053,25.8711,20.1755,14.1611,18.0635,45.6763,26.5711,37.2853,37.5269,59.5304,56.7844,81.7905,39.7701,50.2221,51.1677,53.3931,77.4324
江西,36.819,38.5352,33.5704,47.2112,32.373,70.2847,61.6409,46.0699,26.5088,18.4668,11.5555,7.2796,11.7752,15.4714,25.8824,0.0185,11.6395,19.0107,34.8263,37.9158,39.319,21.2102,26.2041,39.3346,40.7757,64.2078,26.4571,35.5437,43.0975,39.2914,67.7886
湖北,23.0378,20.1881,20.8432,26.8595,34.8219,45.309,42.4558,41.2609,30.1885,7.8111,18.1045,9.9,14.5196,8.6722,20.5435,11.6311,0.0257,17.1812,14.8364,24.8686,23.709,32.5503,27.2563,40.2231,36.7239,79.7596,14.5926,34.4358,33.4803,31.1147,59.4796
湖南,35.3524,24.3184,42.9171,29.9494,37.3014,50.749,51.0859,47.4699,40.2925,13.1814,25.8111,17.4207,21.6928,20.3331,14.1845,19.0064,17.0916,0.0387,12.5372,35.5472,28.365,37.9153,25.7256,48.1378,33.7328,63.107,26.3366,38.8226,41.5524,38.3071,72.4003
广东,34.8871,35.5313,33.2527,49.9722,49.8922,46.2907,56.9531,52.9245,30.1955,21.5777,25.8775,26.4823,28.6539,27.4783,18.0818,34.8254,14.8172,12.5277,0.0216,8.7108,11.7625,20.3747,27.9916,16.4723,26.4441,67.6494,28.1578,49.4248,48.7108,44.913,81.5697
广西,48.5593,41.8159,41.3967,45.6655,55.5103,61.874,68.2667,64.644,65.4666,31.1614,42.0852,34.2755,26.773,35.3231,45.6391,37.8963,24.8466,35.4778,8.6911,0.0376,17.6179,21.2777,17.4143,29.0739,32.7511,76.2834,33.872,40.8899,55.3444,52.9064,78.9049
海南,45.6346,46.1122,44.0613,53.6254,58.7672,67.1566,67.9781,63.9562,47.9411,30.1739,37.054,33.3292,42.6118,36.0243,26.5828,39.3178,23.7084,28.3572,11.7781,17.5831,0.0219,31.6034,41.5539,25.5153,36.8973,79.6372,36.7725,46.5812,60.6238,55.6675,85.948
