新加坡, 180.210.206.51,INFINITE,211ms,187ms
马来西亚, 223.25.244.145,329ms,332ms,371ms
越南, 45.117.76.22,370ms,354ms,370ms
泰国, 43.254.132.221,184ms,148ms,161ms
澳大利亚, 203.143.89.72,300ms,390ms,306ms
印度, 49.50.76.218,291ms,424ms,329ms
阿联酋, 185.93.245.54,433ms,429ms,467ms
土耳其, 185.125.32.29,350ms,324ms,376ms
沙特, 46.151.213.205,359ms,351ms,361ms
哈萨克斯坦, 95.56.234.66,249ms,323ms,370ms
蒙古, 43.231.113.234,328ms,326ms,356ms
日本, 45.32.51.106,192ms,189ms,196ms
韩国, 103.86.86.1,67ms,75ms,41ms
香港, 203.160.84.241,50ms,50ms,42ms
台湾, 113.196.70.31,75ms,74ms,57ms
英国, 5.1.88.152,285ms,282ms,293ms
德国, 185.72.247.76,273ms,300ms,330ms
荷兰, 81.171.7.1,239ms,199ms,305ms
俄罗斯, 46.38.51.201,162ms,121ms,111ms
乌克兰, 91.229.78.83,1111ms,454ms,379ms
意大利, 185.94.16.23,267ms,374ms,326ms
葡萄牙, 188.208.143.109,420ms,419ms,434ms
芬兰, 185.87.108.247,345ms,358ms,347ms
埃及, 41.215.240.197,309ms,308ms,308ms
肯尼亚, 62.12.114.67,536ms,454ms,412ms
尼日利亚, 154.113.1.27,357ms,362ms,412ms
南非, 41.185.78.52,473ms,472ms,478ms
美国, 204.188.217.238,244ms,243ms,219ms
加拿大, 198.50.128.225,380ms,387ms,374ms
墨西哥, 143.255.57.1,259ms,260ms,249ms
巴西, 181.41.214.27,379ms,376ms,441ms
阿根廷, 200.55.240.23,452ms,380ms,373ms
智利, 190.105.239.70,396ms,371ms,387ms
