新加坡, 180.210.206.51,INFINITE
马来西亚, 223.25.244.145,329ms
越南, 45.117.76.22,370ms
泰国, 43.254.132.221,184ms
澳大利亚, 203.143.89.72,300ms
印度, 49.50.76.218,291ms
阿联酋, 185.93.245.54,433ms
土耳其, 185.125.32.29,350ms
沙特, 46.151.213.205,359ms
哈萨克斯坦, 95.56.234.66,249ms
蒙古, 43.231.113.234,328ms
日本, 45.32.51.106,192ms
韩国, 103.86.86.1,67ms
香港, 203.160.84.241,50ms
台湾, 113.196.70.31,75ms
英国, 5.1.88.152,285ms
德国, 185.72.247.76,273ms
荷兰, 81.171.7.1,239ms
俄罗斯, 46.38.51.201,162ms
乌克兰, 91.229.78.83,1111ms
意大利, 185.94.16.23,267ms
葡萄牙, 188.208.143.109,420ms
芬兰, 185.87.108.247,345ms
埃及, 41.215.240.197,309ms
肯尼亚, 62.12.114.67,536ms
尼日利亚, 154.113.1.27,357ms
南非, 41.185.78.52,473ms
美国, 204.188.217.238,244ms
加拿大, 198.50.128.225,380ms
墨西哥, 143.255.57.1,259ms
巴西, 181.41.214.27,379ms
阿根廷, 200.55.240.23,452ms
智利, 190.105.239.70,396ms
